TaskID,ProjectID,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13
TK000047,PJ0006,1248.26,1248.26,1248.26,1248.26,1248.26,1248.26,1248.26,1248.26,1248.26,1248.26,1248.26,1248.26,1248.29
TK000048,PJ0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000049,PJ0006,321552.44,321552.44,321552.44,321552.44,321552.44,321552.44,321552.44,321552.44,321552.44,321552.44,321552.44,321552.44,321552.48
TK000050,PJ0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000051,PJ0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000052,PJ0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000053,PJ0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000054,PJ0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000055,PJ0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000056,PJ0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000057,PJ0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000058,PJ0007,9671.54,9671.54,9671.54,9671.54,9671.54,9671.54,9671.54,9671.54,9671.54,9671.54,9671.54,9671.54,9671.48
TK000059,PJ0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000060,PJ0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000061,PJ0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000062,PJ0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000063,PJ0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000064,PJ0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000065,PJ0007,19483.58,19483.58,19483.58,19483.58,19483.58,19483.58,19483.58,19483.58,19483.58,19483.58,19483.58,19483.58,19483.54
TK000066,PJ0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000067,PJ0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000068,PJ0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000069,PJ0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000070,PJ0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000071,PJ0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000072,PJ0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000073,PJ0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000074,PJ0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000075,PJ0008,65968.72,61642.9,57317.09,52991.27,48665.45,44339.63,40013.82,35688.0,31362.18,27036.36,22710.54,18384.73,14058.91
TK000076,PJ0008,2418.79,3848.07,5277.35,6706.63,8135.92,9565.2,10994.48,9565.2,8135.92,6706.63,5277.35,3848.07,2418.79
TK000077,PJ0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000078,PJ0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000079,PJ0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000080,PJ0009,3097.1,4927.21,6757.31,8587.42,10417.53,12247.63,14077.74,12247.63,10417.53,8587.42,6757.31,4927.21,3097.1
TK000081,PJ0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000082,PJ0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000083,PJ0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000084,PJ0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000085,PJ0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000086,PJ0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000087,PJ0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000088,PJ0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000089,PJ0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000090,PJ0009,7169.36,11405.8,15642.24,19878.68,24115.12,28351.56,32588.0,28351.56,24115.12,19878.68,15642.24,11405.8,7169.36
TK000091,PJ0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000092,PJ0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000093,PJ0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000094,PJ0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000095,PJ0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000096,PJ0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000097,PJ0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000098,PJ0011,1571.43,1468.39,1365.34,1262.3,1159.25,1056.21,953.16,850.12,747.07,644.03,540.98,437.94,334.89
TK000099,PJ0011,711.47,1131.88,1552.29,1972.7,2393.11,2813.52,3233.94,2813.52,2393.11,1972.7,1552.29,1131.88,711.46
TK000100,PJ0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000101,PJ0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000102,PJ0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000103,PJ0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000104,PJ0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000105,PJ0012,589.18,589.18,589.18,589.18,589.18,589.18,589.18,589.18,589.18,589.18,589.18,589.18,589.2
TK000106,PJ0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000107,PJ0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000108,PJ0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000109,PJ0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000110,PJ0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000111,PJ0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000112,PJ0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000113,PJ0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000114,PJ0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000115,PJ0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000116,PJ0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000117,PJ0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000118,PJ0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000119,PJ0013,2388.64,3800.11,5211.58,6623.05,8034.52,9445.99,10857.46,9445.99,8034.52,6623.05,5211.58,3800.11,2388.64
TK000120,PJ0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000121,PJ0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000122,PJ0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000123,PJ0014,2253.34,2105.58,1957.82,1810.06,1662.3,1514.54,1366.78,1219.02,1071.26,923.5,775.74,627.98,480.23
TK000124,PJ0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000125,PJ0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000126,PJ0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000127,PJ0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000128,PJ0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000129,PJ0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000130,PJ0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000131,PJ0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000132,PJ0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000133,PJ0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000134,PJ0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000135,PJ0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000136,PJ0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000137,PJ0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000138,PJ0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000139,PJ0016,928.91,1477.81,2026.71,2575.61,3124.51,3673.41,4222.31,3673.41,3124.51,2575.61,2026.71,1477.81,928.86
TK000140,PJ0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000141,PJ0016,1352.95,1352.95,1352.95,1352.95,1352.95,1352.95,1352.95,1352.95,1352.95,1352.95,1352.95,1352.95,1352.97
TK000142,PJ0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000143,PJ0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000144,PJ0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000145,PJ0016,24277.04,31213.34,38149.64,45085.94,52022.24,58958.54,65894.83,72831.13,79767.43,86703.73,93640.03,100576.33,107512.63
TK000146,PJ0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000147,PJ0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000148,PJ0016,92279.7,118645.33,145010.96,171376.59,197742.21,224107.84,250473.47,276839.1,303204.73,329570.36,355935.98,382301.61,408667.24
TK000149,PJ0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000150,PJ0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000151,PJ0017,777.52,1236.97,1696.41,2155.85,2615.3,3074.74,3534.19,3074.74,2615.3,2155.85,1696.41,1236.97,777.53
TK000152,PJ0017,43992.43,43992.43,43992.43,43992.43,43992.43,43992.43,43992.43,43992.43,43992.43,43992.43,43992.43,43992.43,43992.46
TK000153,PJ0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000154,PJ0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000155,PJ0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000156,PJ0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000157,PJ0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000158,PJ0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000159,PJ0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000160,PJ0017,893.47,1421.43,1949.39,2477.35,3005.31,3533.27,4061.23,3533.27,3005.31,2477.35,1949.39,1421.43,893.45
TK000161,PJ0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000162,PJ0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000163,PJ0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000164,PJ0018,1257.16,1616.35,1975.54,2334.73,2693.92,3053.11,3412.3,3771.48,4130.67,4489.86,4849.05,5208.24,5567.43
TK000165,PJ0018,14908.33,23717.8,32527.27,41336.74,50146.21,58955.68,67765.15,58955.68,50146.21,41336.74,32527.27,23717.8,14908.33
TK000166,PJ0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000167,PJ0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000168,PJ0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000169,PJ0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000170,PJ0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000171,PJ0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000172,PJ0018,39963.49,39963.49,39963.49,39963.49,39963.49,39963.49,39963.49,39963.49,39963.49,39963.49,39963.49,39963.49,39963.43
TK000173,PJ0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000174,PJ0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000175,PJ0019,5260.48,6763.48,8266.47,9769.47,11272.46,12775.46,14278.45,15781.45,17284.44,18787.44,20290.43,21793.43,23296.41
TK000176,PJ0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000177,PJ0019,8149.64,8149.64,8149.64,8149.64,8149.64,8149.64,8149.64,8149.64,8149.64,8149.64,8149.64,8149.64,8149.67
TK000178,PJ0019,1676.2,2666.69,3657.17,4647.66,5638.14,6628.63,7619.11,6628.63,5638.14,4647.66,3657.17,2666.69,1676.22
TK000179,PJ0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000180,PJ0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000181,PJ0020,1627.14,1520.44,1413.74,1307.05,1200.35,1093.65,986.95,880.26,773.56,666.86,560.16,453.47,346.77
TK000182,PJ0020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000183,PJ0020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000184,PJ0020,284234.21,265595.9,246957.59,228319.29,209680.98,191042.67,172404.36,153766.05,135127.74,116489.43,97851.12,79212.81,60574.51
TK000185,PJ0020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000186,PJ0020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000187,PJ0020,2482.56,3191.86,3901.16,4610.46,5319.76,6029.06,6738.37,7447.67,8156.97,8866.27,9575.57,10284.87,10994.17
TK000188,PJ0020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000189,PJ0020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000190,PJ0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000191,PJ0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000192,PJ0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000193,PJ0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000194,PJ0021,103493.4,164648.59,225803.78,286958.98,348114.17,409269.36,470424.55,409269.36,348114.17,286958.98,225803.78,164648.59,103493.4
TK000195,PJ0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000196,PJ0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000197,PJ0021,4366.27,4366.27,4366.27,4366.27,4366.27,4366.27,4366.27,4366.27,4366.27,4366.27,4366.27,4366.27,4366.33
TK000198,PJ0022,508.89,475.52,442.15,408.78,375.41,342.04,308.67,275.3,241.93,208.56,175.19,141.82,108.43
TK000199,PJ0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000200,PJ0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000201,PJ0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000202,PJ0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000203,PJ0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000204,PJ0022,2913.42,4634.99,6356.56,8078.13,9799.7,11521.27,13242.84,11521.27,9799.7,8078.13,6356.56,4634.99,2913.45
TK000205,PJ0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000206,PJ0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000207,PJ0022,656.39,843.93,1031.46,1219.0,1406.54,1594.08,1781.62,1969.16,2156.7,2344.24,2531.78,2719.31,2906.85
TK000208,PJ0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000209,PJ0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000210,PJ0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000211,PJ0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK000212,PJ0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
