TaskID,ProjectID,TaskName,TaskGroup,PlannedStart,PlannedEnd
TK000029,PJ0003,Other Materials,Materials,2024-10-28,2025-04-03
TK000030,PJ0003,Other Costs,Other,2024-12-23,2025-05-15
TK000031,PJ0004,Project Management,PM,2024-12-25,2025-06-11
TK000032,PJ0004,Contingency,Contingency,2024-09-03,2025-03-20
TK000033,PJ0004,NDS,Other,2024-10-02,2024-12-22
TK000034,PJ0004,Contractor,Construction,2024-10-16,2026-04-17
TK000035,PJ0004,Contractor Costs,Construction,2025-02-09,2025-08-09
TK000036,PJ0004,Engineers Costs,Design,2025-03-01,2026-04-15
TK000037,PJ0004,Sleeper Materials,Materials,2025-03-13,2025-11-24
TK000038,PJ0004,Possession Management,Possession,2024-11-06,2025-01-12
TK000039,PJ0005,Project Management,PM,2024-09-24,2025-01-29
TK000040,PJ0005,Contingency,Contingency,2024-09-04,2024-11-03
TK000041,PJ0005,Other Materials,Materials,2024-09-20,2025-01-24
TK000042,PJ0005,NDS,Other,2024-07-10,2024-11-07
TK000043,PJ0005,Construction,Construction,2024-08-18,2025-04-12
TK000044,PJ0005,Contaminated Ballast,Materials,2024-07-19,2025-03-07
TK000045,PJ0005,Environmental Mitigation,Other,2024-08-23,2024-11-01
TK000046,PJ0005,Other Costs,Other,2024-06-21,2024-10-26
TK000047,PJ0006,Project Management,PM,2024-10-09,2024-12-15
TK000048,PJ0006,Contingency,Contingency,2024-09-01,2025-03-28
TK000049,PJ0006,Contractor Costs,Construction,2024-09-09,2025-04-23
TK000050,PJ0006,Rail Materials,Materials,2024-08-17,2025-03-23
TK000051,PJ0006,Systems Engineering,Design,2024-10-11,2024-12-19
TK000052,PJ0006,Sleeper Materials,Materials,2024-11-07,2025-02-20
TK000053,PJ0006,PCAT Costs,PM,2024-09-17,2025-04-18
TK000054,PJ0006,Testing & Commissioning,Construction,2024-08-21,2025-03-19
TK000055,PJ0006,Freight Haulage,Materials,2024-10-16,2025-04-10
TK000056,PJ0006,Construction,Construction,2024-07-21,2024-10-18
TK000057,PJ0007,Project Management,PM,2025-04-03,2025-11-12
TK000058,PJ0007,Contingency,Contingency,2025-04-14,2025-10-20
TK000059,PJ0007,Rail Materials,Materials,2025-06-16,2026-03-16
TK000060,PJ0007,Sleeper Materials,Materials,2025-06-18,2025-09-20
TK000061,PJ0007,Engineers Costs,Design,2025-07-04,2025-10-16
TK000062,PJ0007,Systems Engineering,Design,2025-05-21,2025-10-24
TK000063,PJ0007,On Track Plant,Construction,2025-05-08,2025-11-30
TK000064,PJ0007,Other Costs,Other,2025-04-28,2026-02-11
TK000065,PJ0007,Detailed Design,Design,2025-05-28,2025-12-19
TK000066,PJ0007,Freight Haulage,Materials,2025-06-04,2025-11-13
TK000067,PJ0007,Recharges In - Site,Other,2025-06-05,2025-10-02
TK000068,PJ0007,Contractor Costs,Construction,2025-06-03,2026-01-24
TK000069,PJ0007,Possession Management,Possession,2025-06-01,2025-09-19
TK000070,PJ0008,Project Management,PM,2025-01-06,2025-04-22
TK000071,PJ0008,Contingency,Contingency,2024-12-27,2025-03-12
TK000072,PJ0008,Sleeper Materials,Materials,2025-03-10,2025-04-20
TK000073,PJ0008,Contractor Costs,Construction,2025-01-02,2025-04-16
TK000074,PJ0008,Systems Engineering,Design,2025-01-01,2025-02-28
TK000075,PJ0008,Freight Haulage,Materials,2025-01-23,2025-05-21
TK000076,PJ0008,Engineers Costs,Design,2025-01-14,2025-08-21
TK000077,PJ0009,Project Management,PM,2025-03-21,2025-07-07
TK000078,PJ0009,Contingency,Contingency,2025-02-22,2026-01-05
TK000079,PJ0009,Design,Design,2025-01-24,2025-03-12
TK000080,PJ0009,Environmental Mitigation,Other,2025-01-28,2025-05-23
TK000081,PJ0009,Detailed Design,Design,2025-01-14,2025-07-14
TK000082,PJ0009,Sleeper Materials,Materials,2025-03-07,2025-08-02
TK000083,PJ0009,Engineers Costs,Design,2025-01-29,2025-08-09
TK000084,PJ0009,Ballast Materials,Materials,2024-12-30,2025-03-19
TK000085,PJ0009,Possession Management,Possession,2024-12-18,2025-03-06
TK000086,PJ0009,Construction,Construction,2025-05-02,2025-09-08
TK000087,PJ0009,Contractor,Construction,2025-04-06,2025-05-24
TK000088,PJ0009,Systems Engineering,Design,2025-01-31,2025-03-23
TK000089,PJ0009,Rail Materials,Materials,2025-04-10,2025-06-07
TK000090,PJ0009,GRIP 5 Design,Design,2025-02-07,2025-12-13
TK000091,PJ0010,Project Management,PM,2024-11-04,2024-12-18
TK000092,PJ0010,Contingency,Contingency,2024-11-22,2025-05-08
TK000093,PJ0010,Testing & Commissioning,Construction,2024-09-17,2024-12-27
TK000094,PJ0010,Engineers Costs,Design,2024-12-29,2025-04-19
TK000095,PJ0010,Training,PM,2024-12-12,2025-03-25
TK000096,PJ0010,PCAT Costs,PM,2024-12-14,2025-02-04
TK000097,PJ0011,Project Management,PM,2024-12-18,2025-06-18
TK000098,PJ0011,Contingency,Contingency,2024-12-04,2025-11-09
TK000099,PJ0011,Sponsor Costs,PM,2024-09-30,2025-06-22
TK000100,PJ0011,On Track Plant,Construction,2024-11-25,2026-03-02
TK000101,PJ0011,Systems Engineering,Design,2025-01-08,2025-11-29
TK000102,PJ0011,Freight Haulage,Materials,2025-02-11,2026-04-04
TK000103,PJ0011,Engineers Costs,Design,2024-10-20,2025-04-25
TK000104,PJ0011,Other Costs,Other,2024-08-19,2025-03-16
TK000105,PJ0012,Project Management,PM,2025-05-18,2025-09-24
TK000106,PJ0012,Contingency,Contingency,2025-05-04,2025-07-10
TK000107,PJ0012,Possession Management,Possession,2025-05-01,2025-08-27
TK000108,PJ0012,Environmental Mitigation,Other,2025-03-18,2025-11-10
TK000109,PJ0012,Engineers Costs,Design,2025-04-20,2025-08-15
TK000110,PJ0012,Contaminated Ballast,Materials,2025-05-10,2025-10-12
TK000111,PJ0012,Contractor,Construction,2025-02-22,2025-06-04
TK000112,PJ0013,Project Management,PM,2024-09-08,2025-01-27
TK000113,PJ0013,Contingency,Contingency,2024-07-17,2025-01-10
TK000114,PJ0013,Rail Materials,Materials,2024-07-16,2025-02-06
TK000115,PJ0013,Other Costs,Other,2024-07-02,2024-12-21
TK000116,PJ0013,Ballast Materials,Materials,2024-08-11,2024-11-07
TK000117,PJ0013,Testing & Commissioning,Construction,2024-08-16,2025-03-20
TK000118,PJ0013,NDS,Other,2024-08-31,2025-02-18
TK000119,PJ0013,Sponsor Costs,PM,2024-08-19,2025-02-28
TK000120,PJ0013,Contractor Costs,Construction,2024-08-24,2024-12-17
TK000121,PJ0013,Signalling Kit,Materials,2024-07-27,2024-12-19
TK000122,PJ0013,Possession Management,Possession,2024-07-01,2024-10-24
TK000123,PJ0014,Project Management,PM,2025-01-17,2025-03-21
TK000124,PJ0014,Contingency,Contingency,2025-02-17,2025-08-04
TK000125,PJ0014,Design,Design,2025-03-05,2025-05-23
TK000126,PJ0014,Construction,Construction,2025-03-10,2025-04-19
TK000127,PJ0014,Rail Materials,Materials,2025-01-23,2025-04-02
TK000128,PJ0014,Other Costs,Other,2025-02-20,2025-07-03
TK000129,PJ0015,Project Management,PM,2024-10-14,2025-02-06
TK000130,PJ0015,Contingency,Contingency,2024-08-08,2025-04-27
TK000131,PJ0015,Construction,Construction,2024-09-09,2025-02-26
TK000132,PJ0015,Detailed Design,Design,2024-08-02,2024-09-18
TK000133,PJ0015,PCAT Costs,PM,2024-08-14,2025-03-24
TK000134,PJ0015,Contractor,Construction,2024-07-07,2025-01-13
TK000135,PJ0015,Site Compound,Construction,2024-09-15,2025-04-02
TK000136,PJ0015,Training,PM,2024-07-20,2025-04-25
TK000137,PJ0015,Ballast Materials,Materials,2024-09-22,2025-04-22
TK000138,PJ0015,Sponsor Costs,PM,2024-10-11,2025-05-16
TK000139,PJ0016,Project Management,PM,2024-09-04,2024-12-26
TK000140,PJ0016,Contingency,Contingency,2024-08-01,2024-09-13
TK000141,PJ0016,Possession Management,Possession,2024-07-08,2025-08-05
TK000142,PJ0016,Construction,Construction,2024-11-19,2025-08-08
TK000143,PJ0016,Rail Materials,Materials,2024-09-13,2025-07-21
TK000144,PJ0016,Testing & Commissioning,Construction,2024-10-16,2025-04-10
TK000145,PJ0016,Systems Engineering,Design,2024-09-18,2025-02-02
TK000146,PJ0016,Design,Design,2024-08-17,2025-05-17
TK000147,PJ0016,Sleeper Materials,Materials,2024-10-16,2025-02-05
TK000148,PJ0016,Ballast Materials,Materials,2024-11-04,2025-05-22
TK000149,PJ0016,On Track Plant,Construction,2024-09-12,2025-01-13
TK000150,PJ0016,Signalling Kit,Materials,2024-11-12,2025-04-26
TK000151,PJ0017,Project Management,PM,2025-05-25,2025-09-04
TK000152,PJ0017,Contingency,Contingency,2025-05-24,2025-08-30
TK000153,PJ0017,On Track Plant,Construction,2025-05-06,2025-07-31
TK000154,PJ0017,Detailed Design,Design,2025-02-27,2025-12-06
TK000155,PJ0017,Ballast Materials,Materials,2025-04-23,2025-06-10
TK000156,PJ0017,Sleeper Materials,Materials,2025-02-15,2025-11-15
TK000157,PJ0017,Design,Design,2025-03-25,2026-01-30
TK000158,PJ0017,Other Costs,Other,2025-05-18,2025-12-02
TK000159,PJ0017,Engineers Costs,Design,2025-06-09,2025-07-20
TK000160,PJ0017,Sponsor Costs,PM,2025-04-13,2025-08-16
TK000161,PJ0017,GRIP 5 Design,Design,2025-04-28,2026-01-13
TK000162,PJ0018,Project Management,PM,2025-01-12,2025-07-09
TK000163,PJ0018,Contingency,Contingency,2024-12-28,2025-07-19
TK000164,PJ0018,Possession Management,Possession,2025-01-06,2025-02-20
TK000165,PJ0018,Construction,Construction,2024-12-11,2025-05-29
TK000166,PJ0018,Rail Materials,Materials,2024-10-27,2025-03-17
TK000167,PJ0018,Training,PM,2024-12-20,2025-06-30
TK000168,PJ0018,Recharges In - Site,Other,2024-10-26,2025-05-10
TK000169,PJ0018,Design,Design,2024-12-16,2025-07-21
TK000170,PJ0018,Ballast Materials,Materials,2024-12-12,2025-01-30
TK000171,PJ0018,Contractor Costs,Construction,2025-01-15,2025-07-24
TK000172,PJ0018,GRIP 5 Design,Design,2025-01-22,2025-07-01
TK000173,PJ0019,Project Management,PM,2025-03-22,2025-06-28
TK000174,PJ0019,Contingency,Contingency,2025-02-24,2025-09-12
TK000175,PJ0019,Freight Haulage,Materials,2025-04-05,2025-05-25
TK000176,PJ0019,Systems Engineering,Design,2025-03-31,2025-08-22
TK000177,PJ0019,NDS,Other,2025-03-04,2025-07-04
TK000178,PJ0019,Rail Materials,Materials,2025-03-17,2025-08-23
TK000179,PJ0019,Sleeper Materials,Materials,2025-02-26,2025-09-12
TK000180,PJ0019,Testing & Commissioning,Construction,2025-03-24,2025-07-18
TK000181,PJ0020,Project Management,PM,2025-01-30,2025-03-22
TK000182,PJ0020,Contingency,Contingency,2024-12-04,2025-02-27
TK000183,PJ0020,Ballast Materials,Materials,2025-01-04,2025-02-04
TK000184,PJ0020,Contractor Costs,Construction,2025-01-08,2025-05-13
TK000185,PJ0020,NDS,Other,2025-01-24,2025-04-13
TK000186,PJ0020,Design,Design,2024-12-06,2025-01-22
TK000187,PJ0020,Rail Materials,Materials,2025-01-04,2025-03-10
TK000188,PJ0020,On Track Plant,Construction,2024-11-22,2025-05-05
TK000189,PJ0020,Contractor,Construction,2025-01-07,2025-05-12
TK000190,PJ0021,Project Management,PM,2025-05-19,2026-01-08
TK000191,PJ0021,Contingency,Contingency,2025-02-23,2025-05-07
TK000192,PJ0021,Sponsor Costs,PM,2025-04-11,2026-02-17
TK000193,PJ0021,PCAT Costs,PM,2024-11-16,2026-05-30
TK000194,PJ0021,Contractor Costs,Construction,2025-03-12,2025-12-21
TK000195,PJ0021,Other Materials,Materials,2025-04-23,2025-06-24
TK000196,PJ0021,Freight Haulage,Materials,2024-11-16,2026-01-19
TK000197,PJ0021,Engineers Costs,Design,2024-12-31,2025-05-13
TK000198,PJ0022,Project Management,PM,2025-01-08,2025-02-11
TK000199,PJ0022,Contingency,Contingency,2025-01-18,2026-03-21
TK000200,PJ0022,PCAT Costs,PM,2025-03-26,2025-11-13
TK000201,PJ0022,Construction,Construction,2024-11-14,2025-08-12
TK000202,PJ0022,Contractor Costs,Construction,2025-03-19,2026-07-17
TK000203,PJ0022,Design,Design,2024-11-28,2026-04-21
TK000204,PJ0022,Training,PM,2025-04-16,2025-12-10
TK000205,PJ0022,Systems Engineering,Design,2025-02-25,2026-02-13
TK000206,PJ0022,Possession Management,Possession,2024-10-24,2025-04-08
TK000207,PJ0022,Sponsor Costs,PM,2024-10-13,2025-02-23
TK000208,PJ0022,Recharges In - Site,Other,2025-03-19,2025-08-25
TK000209,PJ0022,Environmental Mitigation,Other,2024-11-18,2025-02-24
TK000210,PJ0022,On Track Plant,Construction,2024-11-05,2025-12-30
TK000211,PJ0022,Rail Materials,Materials,2025-01-27,2025-05-22
TK000212,PJ0023,Project Management,PM,2024-11-11,2025-07-24
TK000213,PJ0023,Contingency,Contingency,2025-01-16,2025-07-19
TK000214,PJ0023,Site Compound,Construction,2024-11-20,2025-02-02
TK000215,PJ0023,Design,Design,2025-01-11,2025-11-08
TK000216,PJ0023,Contractor Costs,Construction,2024-12-02,2025-08-28
TK000217,PJ0023,PCAT Costs,PM,2024-10-13,2024-12-23
TK000218,PJ0023,Recharges In - Site,Other,2024-09-15,2024-12-16
TK000219,PJ0023,Systems Engineering,Design,2024-10-09,2025-01-03
TK000220,PJ0024,Project Management,PM,2024-09-14,2025-07-21
TK000221,PJ0024,Contingency,Contingency,2024-06-30,2026-01-23
TK000222,PJ0024,Design,Design,2024-10-16,2025-10-06
TK000223,PJ0024,Contractor,Construction,2024-09-06,2025-05-15
TK000224,PJ0024,Systems Engineering,Design,2024-08-30,2024-12-08
TK000225,PJ0024,Possession Management,Possession,2024-12-12,2025-11-21
TK000226,PJ0025,Project Management,PM,2024-08-29,2024-12-17
TK000227,PJ0025,Contingency,Contingency,2024-07-10,2025-02-21
TK000228,PJ0025,NDS,Other,2024-08-06,2025-01-17
TK000229,PJ0025,Freight Haulage,Materials,2024-07-27,2025-01-23
TK000230,PJ0025,Rail Materials,Materials,2024-07-31,2024-09-06
TK000231,PJ0025,Sleeper Materials,Materials,2024-06-27,2024-11-19
TK000232,PJ0025,Detailed Design,Design,2024-08-11,2024-09-30
TK000233,PJ0025,Contractor Costs,Construction,2024-07-11,2025-01-17
TK000234,PJ0025,Engineers Costs,Design,2024-06-23,2024-09-26
TK000235,PJ0026,Project Management,PM,2024-12-11,2025-07-12
TK000236,PJ0026,Contingency,Contingency,2024-12-01,2025-12-10
TK000237,PJ0026,Engineers Costs,Design,2025-01-22,2025-02-25
TK000238,PJ0026,Sponsor Costs,PM,2024-10-31,2025-10-26
TK000239,PJ0026,NDS,Other,2024-10-02,2024-12-30
TK000240,PJ0026,Other Materials,Materials,2024-11-11,2025-09-03
TK000241,PJ0026,Rail Materials,Materials,2024-08-12,2025-09-17
TK000242,PJ0026,Design,Design,2024-09-12,2025-01-22
TK000243,PJ0026,Contractor Costs,Construction,2024-11-03,2025-04-25
TK000244,PJ0026,Other Costs,Other,2024-09-19,2025-04-04
TK000245,PJ0027,Project Management,PM,2024-12-09,2025-05-28
TK000246,PJ0027,Contingency,Contingency,2025-01-18,2025-09-07
TK000247,PJ0027,Contractor Costs,Construction,2025-01-27,2025-10-08
TK000248,PJ0027,Rail Materials,Materials,2025-02-24,2025-05-22
TK000249,PJ0027,Other Materials,Materials,2025-03-12,2025-08-07
TK000250,PJ0027,Detailed Design,Design,2025-03-10,2025-09-01
TK000251,PJ0027,Engineers Costs,Design,2024-12-14,2025-10-07
TK000252,PJ0027,Freight Haulage,Materials,2025-01-03,2025-10-09
TK000253,PJ0028,Project Management,PM,2024-10-31,2025-08-07
TK000254,PJ0028,Contingency,Contingency,2024-07-23,2024-10-27
TK000255,PJ0028,Environmental Mitigation,Other,2024-09-20,2025-04-22
TK000256,PJ0028,Other Materials,Materials,2024-08-23,2024-09-24
TK000257,PJ0028,NDS,Other,2024-06-30,2025-02-20
TK000258,PJ0028,Contractor,Construction,2024-08-16,2025-05-04
TK000259,PJ0029,Project Management,PM,2024-11-20,2025-07-02
TK000260,PJ0029,Contingency,Contingency,2024-12-09,2025-04-04
TK000261,PJ0029,Ballast Materials,Materials,2024-12-14,2025-06-20
TK000262,PJ0029,Sleeper Materials,Materials,2024-10-09,2025-06-21
TK000263,PJ0029,Construction,Construction,2025-01-01,2025-06-26
TK000264,PJ0029,Signalling Kit,Materials,2025-01-05,2025-03-10
TK000265,PJ0029,Sponsor Costs,PM,2024-12-09,2025-04-17
TK000266,PJ0029,Contaminated Ballast,Materials,2024-12-26,2025-08-05
TK000267,PJ0029,GRIP 5 Design,Design,2024-10-29,2025-06-29
TK000268,PJ0030,Project Management,PM,2024-08-15,2025-01-01
TK000269,PJ0030,Contingency,Contingency,2024-08-21,2025-03-13
TK000270,PJ0030,Sleeper Materials,Materials,2024-10-22,2025-01-05
TK000271,PJ0030,Engineers Costs,Design,2024-09-07,2025-01-31
TK000272,PJ0030,Ballast Materials,Materials,2024-10-21,2025-01-16
TK000273,PJ0030,Other Costs,Other,2024-09-10,2024-12-12
TK000274,PJ0030,Recharges In - Site,Other,2024-09-10,2025-01-20
TK000275,PJ0030,Systems Engineering,Design,2024-10-07,2024-11-28
TK000276,PJ0030,Construction,Construction,2024-08-03,2024-10-24
TK000277,PJ0030,Testing & Commissioning,Construction,2024-08-10,2024-10-12
TK000278,PJ0030,PCAT Costs,PM,2024-08-13,2025-02-21
TK000279,PJ0030,Site Compound,Construction,2024-08-24,2025-04-11
TK000280,PJ0030,Contaminated Ballast,Materials,2024-09-27,2024-11-27
TK000281,PJ0031,Project Management,PM,2024-12-10,2025-08-28
TK000282,PJ0031,Contingency,Contingency,2025-02-28,2025-09-06
TK000283,PJ0031,Possession Management,Possession,2024-12-13,2025-03-08
TK000284,PJ0031,Testing & Commissioning,Construction,2025-02-09,2025-03-25
TK000285,PJ0031,Construction,Construction,2024-11-26,2025-02-05
TK000286,PJ0031,Freight Haulage,Materials,2025-02-27,2025-05-02
TK000287,PJ0031,GRIP 5 Design,Design,2024-12-29,2025-08-17
TK000288,PJ0031,Sponsor Costs,PM,2025-02-13,2025-05-06
TK000289,PJ0032,Project Management,PM,2025-03-08,2025-08-29
TK000290,PJ0032,Contingency,Contingency,2025-01-29,2025-09-19
TK000291,PJ0032,Ballast Materials,Materials,2025-04-02,2025-05-17
TK000292,PJ0032,Engineers Costs,Design,2025-03-30,2025-05-23
TK000293,PJ0032,PCAT Costs,PM,2025-02-20,2025-06-13
TK000294,PJ0032,Design,Design,2025-01-30,2025-03-12
TK000295,PJ0032,Sponsor Costs,PM,2025-03-13,2025-06-14
TK000296,PJ0032,Systems Engineering,Design,2025-04-11,2025-07-17
TK000297,PJ0032,Possession Management,Possession,2025-04-11,2025-07-11
TK000298,PJ0032,Sleeper Materials,Materials,2025-04-17,2025-05-23
TK000299,PJ0032,Detailed Design,Design,2025-04-07,2025-07-21
TK000300,PJ0032,On Track Plant,Construction,2025-01-30,2025-03-20
TK000301,PJ0032,Signalling Kit,Materials,2025-03-31,2025-09-04
TK000302,PJ0033,Project Management,PM,2025-02-26,2026-01-23
TK000303,PJ0033,Contingency,Contingency,2025-02-06,2025-12-07
TK000304,PJ0033,On Track Plant,Construction,2025-03-21,2026-07-28
TK000305,PJ0033,Environmental Mitigation,Other,2025-06-16,2026-01-09
TK000306,PJ0033,Ballast Materials,Materials,2025-07-02,2026-08-18
TK000307,PJ0033,Contractor,Construction,2025-05-12,2026-07-27
TK000308,PJ0033,Engineers Costs,Design,2025-05-13,2025-08-12
TK000309,PJ0033,Possession Management,Possession,2025-07-16,2026-09-08
TK000310,PJ0033,Contaminated Ballast,Materials,2025-05-01,2026-02-23
TK000311,PJ0033,PCAT Costs,PM,2025-07-07,2026-08-02
TK000312,PJ0034,Project Management,PM,2025-05-17,2025-09-20
TK000313,PJ0034,Contingency,Contingency,2025-01-05,2025-12-07
TK000314,PJ0034,Rail Materials,Materials,2025-04-26,2025-09-02
TK000315,PJ0034,Sponsor Costs,PM,2025-05-26,2025-09-19
TK000316,PJ0034,Design,Design,2025-05-15,2025-10-19
TK000317,PJ0034,PCAT Costs,PM,2025-01-31,2025-07-06
TK000318,PJ0034,Site Compound,Construction,2025-03-02,2026-03-02
TK000319,PJ0034,Possession Management,Possession,2025-03-29,2026-02-13
TK000320,PJ0034,GRIP 5 Design,Design,2024-12-28,2025-06-23
TK000321,PJ0035,Project Management,PM,2025-04-07,2025-10-22
TK000322,PJ0035,Contingency,Contingency,2025-03-30,2025-07-22
TK000323,PJ0035,Signalling Kit,Materials,2025-05-09,2025-07-13
TK000324,PJ0035,Other Costs,Other,2025-06-01,2025-11-17
TK000325,PJ0035,Possession Management,Possession,2025-05-20,2025-08-19
TK000326,PJ0035,Systems Engineering,Design,2025-05-08,2025-10-09
TK000327,PJ0036,Project Management,PM,2024-09-03,2025-07-04
TK000328,PJ0036,Contingency,Contingency,2024-10-13,2025-03-13
TK000329,PJ0036,Possession Management,Possession,2024-11-20,2025-02-08
TK000330,PJ0036,Contractor,Construction,2024-11-26,2025-07-06
TK000331,PJ0036,Contaminated Ballast,Materials,2024-10-12,2025-05-20
TK000332,PJ0036,Contractor Costs,Construction,2024-09-28,2024-12-17
TK000333,PJ0036,Recharges In - Site,Other,2024-08-11,2025-02-04
TK000334,PJ0036,Other Costs,Other,2024-10-19,2025-05-18
TK000335,PJ0036,Ballast Materials,Materials,2024-10-25,2025-03-07
TK000336,PJ0036,Freight Haulage,Materials,2024-11-16,2025-01-22
TK000337,PJ0036,NDS,Other,2024-08-31,2025-06-03
TK000338,PJ0036,Design,Design,2024-11-13,2025-03-16
TK000339,PJ0037,Project Management,PM,2025-01-12,2025-10-28
TK000340,PJ0037,Contingency,Contingency,2025-02-15,2026-01-01
TK000341,PJ0037,Other Costs,Other,2025-03-01,2025-05-07
TK000342,PJ0037,Design,Design,2024-09-24,2024-12-06
TK000343,PJ0037,Other Materials,Materials,2025-02-16,2025-05-03
TK000344,PJ0037,Detailed Design,Design,2024-09-21,2025-03-12
TK000345,PJ0037,Contaminated Ballast,Materials,2024-10-23,2025-06-20
TK000346,PJ0037,Testing & Commissioning,Construction,2024-11-13,2025-07-09
TK000347,PJ0037,Signalling Kit,Materials,2025-01-22,2025-04-13
TK000348,PJ0037,Sleeper Materials,Materials,2024-11-20,2025-10-22
TK000349,PJ0038,Project Management,PM,2025-02-22,2025-08-09
TK000350,PJ0038,Contingency,Contingency,2025-02-21,2025-08-30
TK000351,PJ0038,Ballast Materials,Materials,2025-01-22,2025-07-16
TK000352,PJ0038,Other Costs,Other,2025-03-21,2025-09-22
TK000353,PJ0038,Construction,Construction,2025-01-06,2025-11-01
TK000354,PJ0038,Rail Materials,Materials,2025-01-24,2025-06-26
TK000355,PJ0038,Design,Design,2025-03-22,2025-08-24
TK000356,PJ0038,On Track Plant,Construction,2025-01-17,2025-10-23
TK000357,PJ0038,Sleeper Materials,Materials,2025-01-28,2025-09-12
TK000358,PJ0038,Site Compound,Construction,2025-02-08,2025-10-23
TK000359,PJ0038,Testing & Commissioning,Construction,2025-02-21,2025-07-27
TK000360,PJ0038,Systems Engineering,Design,2025-03-20,2025-09-24
TK000361,PJ0038,Freight Haulage,Materials,2025-01-11,2025-06-15
TK000362,PJ0039,Project Management,PM,2025-05-12,2026-06-01
TK000363,PJ0039,Contingency,Contingency,2025-05-06,2025-09-13
TK000364,PJ0039,NDS,Other,2025-07-31,2026-05-21
TK000365,PJ0039,Engineers Costs,Design,2025-01-23,2025-07-12
TK000366,PJ0039,Construction,Construction,2025-02-27,2025-12-24
TK000367,PJ0039,Detailed Design,Design,2025-02-13,2026-09-19
TK000368,PJ0039,On Track Plant,Construction,2025-03-19,2025-09-06
TK000369,PJ0039,Testing & Commissioning,Construction,2025-07-12,2025-12-13
TK000370,PJ0039,Possession Management,Possession,2025-02-26,2026-05-20
TK000371,PJ0039,PCAT Costs,PM,2025-02-28,2026-02-06
TK000372,PJ0039,Environmental Mitigation,Other,2025-05-04,2025-10-06
TK000373,PJ0039,Ballast Materials,Materials,2025-04-01,2025-07-09
TK000374,PJ0039,Sleeper Materials,Materials,2025-05-20,2025-09-02
TK000375,PJ0039,Site Compound,Construction,2025-02-09,2025-11-04
TK000376,PJ0040,Project Management,PM,2025-04-18,2025-11-27
TK000377,PJ0040,Contingency,Contingency,2025-05-03,2026-07-31
TK000378,PJ0040,Engineers Costs,Design,2025-09-12,2026-02-24
TK000379,PJ0040,Construction,Construction,2025-04-23,2025-05-26
TK000380,PJ0040,On Track Plant,Construction,2025-03-17,2025-08-22
TK000381,PJ0040,Contractor Costs,Construction,2025-03-11,2025-11-30
TK000382,PJ0040,Design,Design,2025-05-28,2025-10-19
TK000383,PJ0040,NDS,Other,2025-08-24,2026-05-03
TK000384,PJ0041,Project Management,PM,2025-05-12,2025-06-15
TK000385,PJ0041,Contingency,Contingency,2025-01-16,2025-05-17
TK000386,PJ0041,Engineers Costs,Design,2025-01-26,2025-08-12
TK000387,PJ0041,Freight Haulage,Materials,2025-05-13,2026-02-07
TK000388,PJ0041,Construction,Construction,2025-05-07,2025-06-13
TK000389,PJ0041,Systems Engineering,Design,2024-12-31,2026-02-16
TK000390,PJ0041,PCAT Costs,PM,2025-04-03,2025-08-21
TK000391,PJ0041,Ballast Materials,Materials,2025-02-08,2025-10-14
TK000392,PJ0041,Environmental Mitigation,Other,2025-01-24,2025-07-10
TK000393,PJ0042,Project Management,PM,2024-11-22,2025-05-22
TK000394,PJ0042,Contingency,Contingency,2024-11-15,2025-02-27
