EventID,ServiceID,Reason,ReasonGroup,DelayMinutes
DE000094,SV00078,Passenger incident,External,6
DE000095,SV00078,Weather,External,29
DE000096,SV00079,Track fault,Infrastructure,14
DE000097,SV00080,Weather,External,16
DE000098,SV00081,Passenger incident,External,1
DE000099,SV00081,Signal failure,Infrastructure,6
DE000100,SV00082,Staffing,Operations,6
DE000101,SV00082,Signal failure,Infrastructure,15
DE000102,SV00083,Passenger incident,External,12
DE000103,SV00084,Staffing,Operations,44
DE000104,SV00084,Points failure,Infrastructure,7
DE000105,SV00085,Weather,External,17
DE000106,SV00085,Staffing,Operations,2
DE000107,SV00086,Rolling stock,Fleet,51
DE000108,SV00089,Staffing,Operations,19
DE000109,SV00090,Points failure,Infrastructure,35
DE000110,SV00091,Rolling stock,Fleet,5
DE000111,SV00093,Points failure,Infrastructure,7
DE000112,SV00093,Track fault,Infrastructure,14
DE000113,SV00095,Staffing,Operations,23
DE000114,SV00095,Passenger incident,External,1
DE000115,SV00096,Weather,External,42
DE000116,SV00096,Track fault,Infrastructure,26
DE000117,SV00097,Passenger incident,External,47
DE000118,SV00099,Signal failure,Infrastructure,3
DE000119,SV00099,Signal failure,Infrastructure,6
DE000120,SV00101,Signal failure,Infrastructure,1
DE000121,SV00101,Rolling stock,Fleet,9
DE000122,SV00102,Passenger incident,External,26
DE000123,SV00102,Congestion,Network,9
DE000124,SV00104,Signal failure,Infrastructure,20
DE000125,SV00105,Congestion,Network,6
DE000126,SV00105,Points failure,Infrastructure,6
DE000127,SV00106,Points failure,Infrastructure,2
DE000128,SV00106,Signal failure,Infrastructure,4
DE000129,SV00107,Passenger incident,External,22
DE000130,SV00108,Weather,External,8
DE000131,SV00108,Signal failure,Infrastructure,5
DE000132,SV00109,Signal failure,Infrastructure,23
DE000133,SV00110,Track fault,Infrastructure,7
DE000134,SV00110,Congestion,Network,18
DE000135,SV00111,Weather,External,8
DE000136,SV00111,Passenger incident,External,21
DE000137,SV00113,Signal failure,Infrastructure,18
DE000138,SV00113,Passenger incident,External,19
DE000139,SV00115,Signal failure,Infrastructure,58
DE000140,SV00116,Points failure,Infrastructure,25
DE000141,SV00117,Staffing,Operations,15
DE000142,SV00118,Rolling stock,Fleet,13
DE000143,SV00118,Rolling stock,Fleet,22
DE000144,SV00120,Rolling stock,Fleet,15
DE000145,SV00121,Rolling stock,Fleet,30
DE000146,SV00122,Weather,External,17
DE000147,SV00122,Staffing,Operations,2
DE000148,SV00124,Signal failure,Infrastructure,15
DE000149,SV00125,Passenger incident,External,1
DE000150,SV00125,Points failure,Infrastructure,5
DE000151,SV00126,Track fault,Infrastructure,5
DE000152,SV00127,Points failure,Infrastructure,5
DE000153,SV00127,Congestion,Network,6
DE000154,SV00128,Passenger incident,External,6
DE000155,SV00128,Signal failure,Infrastructure,5
DE000156,SV00130,Signal failure,Infrastructure,11
DE000157,SV00131,Points failure,Infrastructure,9
DE000158,SV00131,Passenger incident,External,5
DE000159,SV00132,Signal failure,Infrastructure,13
DE000160,SV00132,Weather,External,5
DE000161,SV00135,Congestion,Network,5
DE000162,SV00135,Signal failure,Infrastructure,2
DE000163,SV00136,Points failure,Infrastructure,30
DE000164,SV00137,Weather,External,52
DE000165,SV00140,Rolling stock,Fleet,10
DE000166,SV00141,Staffing,Operations,2
DE000167,SV00141,Congestion,Network,7
DE000168,SV00142,Passenger incident,External,35
DE000169,SV00144,Signal failure,Infrastructure,19
DE000170,SV00144,Track fault,Infrastructure,6
DE000171,SV00145,Weather,External,2
DE000172,SV00145,Passenger incident,External,11
DE000173,SV00146,Track fault,Infrastructure,13
DE000174,SV00147,Track fault,Infrastructure,25
DE000175,SV00148,Congestion,Network,22
DE000176,SV00149,Congestion,Network,4
DE000177,SV00149,Congestion,Network,2
DE000178,SV00151,Signal failure,Infrastructure,18
DE000179,SV00152,Points failure,Infrastructure,25
DE000180,SV00153,Congestion,Network,2
DE000181,SV00153,Signal failure,Infrastructure,5
DE000182,SV00154,Signal failure,Infrastructure,3
DE000183,SV00154,Points failure,Infrastructure,5
DE000184,SV00155,Congestion,Network,21
DE000185,SV00156,Signal failure,Infrastructure,13
DE000186,SV00158,Points failure,Infrastructure,7
DE000187,SV00158,Congestion,Network,5
DE000188,SV00159,Weather,External,1
DE000189,SV00159,Passenger incident,External,19
DE000190,SV00160,Passenger incident,External,26
DE000191,SV00160,Points failure,Infrastructure,1
DE000192,SV00161,Track fault,Infrastructure,12
DE000193,SV00162,Passenger incident,External,24
DE000194,SV00163,Weather,External,7
DE000195,SV00163,Congestion,Network,27
DE000196,SV00164,Congestion,Network,3
DE000197,SV00165,Rolling stock,Fleet,12
DE000198,SV00166,Track fault,Infrastructure,2
DE000199,SV00166,Passenger incident,External,2
DE000200,SV00167,Rolling stock,Fleet,2
DE000201,SV00167,Rolling stock,Fleet,4
DE000202,SV00168,Signal failure,Infrastructure,30
DE000203,SV00169,Staffing,Operations,6
DE000204,SV00170,Track fault,Infrastructure,3
DE000205,SV00170,Rolling stock,Fleet,4
DE000206,SV00171,Passenger incident,External,6
DE000207,SV00172,Track fault,Infrastructure,2
DE000208,SV00172,Track fault,Infrastructure,2
DE000209,SV00173,Rolling stock,Fleet,16
DE000210,SV00175,Weather,External,21
DE000211,SV00176,Points failure,Infrastructure,15
DE000212,SV00177,Weather,External,7
DE000213,SV00177,Weather,External,20
DE000214,SV00178,Track fault,Infrastructure,25
DE000215,SV00179,Passenger incident,External,51
DE000216,SV00180,Track fault,Infrastructure,28
DE000217,SV00180,Track fault,Infrastructure,1
DE000218,SV00181,Points failure,Infrastructure,11
DE000219,SV00181,Rolling stock,Fleet,18
DE000220,SV00182,Passenger incident,External,43
DE000221,SV00185,Passenger incident,External,4
DE000222,SV00186,Signal failure,Infrastructure,22
DE000223,SV00187,Weather,External,12
DE000224,SV00188,Weather,External,2
DE000225,SV00188,Passenger incident,External,5
DE000226,SV00189,Points failure,Infrastructure,14
DE000227,SV00189,Points failure,Infrastructure,38
DE000228,SV00190,Signal failure,Infrastructure,11
DE000229,SV00191,Signal failure,Infrastructure,3
DE000230,SV00191,Track fault,Infrastructure,14
DE000231,SV00192,Congestion,Network,22
DE000232,SV00193,Staffing,Operations,17
DE000233,SV00194,Weather,External,41
DE000234,SV00194,Track fault,Infrastructure,15
DE000235,SV00195,Signal failure,Infrastructure,14
DE000236,SV00197,Weather,External,5
DE000237,SV00198,Rolling stock,Fleet,15
DE000238,SV00198,Staffing,Operations,20
DE000239,SV00199,Track fault,Infrastructure,24
DE000240,SV00200,Rolling stock,Fleet,16
DE000241,SV00201,Signal failure,Infrastructure,51
DE000242,SV00203,Staffing,Operations,25
DE000243,SV00204,Signal failure,Infrastructure,23
DE000244,SV00205,Points failure,Infrastructure,35
DE000245,SV00206,Track fault,Infrastructure,26
DE000246,SV00207,Staffing,Operations,15
DE000247,SV00208,Weather,External,12
DE000248,SV00208,Track fault,Infrastructure,16
DE000249,SV00209,Points failure,Infrastructure,9
DE000250,SV00211,Congestion,Network,22
DE000251,SV00212,Rolling stock,Fleet,22
DE000252,SV00214,Weather,External,16
DE000253,SV00215,Track fault,Infrastructure,6
DE000254,SV00215,Points failure,Infrastructure,10
DE000255,SV00216,Signal failure,Infrastructure,12
DE000256,SV00218,Staffing,Operations,40
DE000257,SV00219,Track fault,Infrastructure,51
DE000258,SV00220,Signal failure,Infrastructure,35
DE000259,SV00221,Rolling stock,Fleet,33
DE000260,SV00221,Passenger incident,External,18
DE000261,SV00222,Congestion,Network,18
DE000262,SV00223,Congestion,Network,11
DE000263,SV00223,Points failure,Infrastructure,27
DE000264,SV00224,Passenger incident,External,17
DE000265,SV00224,Passenger incident,External,13
DE000266,SV00226,Track fault,Infrastructure,11
DE000267,SV00227,Passenger incident,External,16
DE000268,SV00227,Passenger incident,External,5
DE000269,SV00228,Points failure,Infrastructure,41
DE000270,SV00228,Signal failure,Infrastructure,11
DE000271,SV00229,Weather,External,8
DE000272,SV00230,Passenger incident,External,11
DE000273,SV00231,Points failure,Infrastructure,8
DE000274,SV00232,Staffing,Operations,47
DE000275,SV00233,Points failure,Infrastructure,2
DE000276,SV00233,Track fault,Infrastructure,3
DE000277,SV00234,Congestion,Network,5
DE000278,SV00234,Congestion,Network,12
DE000279,SV00235,Passenger incident,External,5
DE000280,SV00235,Track fault,Infrastructure,2
DE000281,SV00236,Signal failure,Infrastructure,15
DE000282,SV00239,Track fault,Infrastructure,2
DE000283,SV00239,Passenger incident,External,1
DE000284,SV00240,Points failure,Infrastructure,27
DE000285,SV00240,Track fault,Infrastructure,17
DE000286,SV00241,Track fault,Infrastructure,3
DE000287,SV00241,Points failure,Infrastructure,3
DE000288,SV00242,Rolling stock,Fleet,9
DE000289,SV00243,Weather,External,9
DE000290,SV00243,Congestion,Network,21
DE000291,SV00244,Congestion,Network,5
DE000292,SV00244,Congestion,Network,8
DE000293,SV00245,Weather,External,4
DE000294,SV00245,Congestion,Network,13
DE000295,SV00246,Track fault,Infrastructure,18
DE000296,SV00247,Weather,External,49
DE000297,SV00248,Weather,External,11
DE000298,SV00248,Track fault,Infrastructure,2
DE000299,SV00249,Staffing,Operations,9
DE000300,SV00249,Weather,External,11
DE000301,SV00250,Staffing,Operations,24
DE000302,SV00251,Staffing,Operations,4
DE000303,SV00252,Track fault,Infrastructure,13
DE000304,SV00252,Points failure,Infrastructure,11
DE000305,SV00253,Passenger incident,External,19
DE000306,SV00254,Points failure,Infrastructure,35
DE000307,SV00255,Weather,External,4
DE000308,SV00256,Passenger incident,External,35
DE000309,SV00257,Passenger incident,External,47
DE000310,SV00258,Track fault,Infrastructure,2
DE000311,SV00258,Track fault,Infrastructure,11
DE000312,SV00260,Points failure,Infrastructure,39
DE000313,SV00261,Weather,External,15
DE000314,SV00261,Passenger incident,External,7
DE000315,SV00262,Track fault,Infrastructure,18
DE000316,SV00263,Rolling stock,Fleet,52
DE000317,SV00264,Signal failure,Infrastructure,2
DE000318,SV00264,Track fault,Infrastructure,2
DE000319,SV00265,Weather,External,4
DE000320,SV00265,Points failure,Infrastructure,4
DE000321,SV00266,Staffing,Operations,3
DE000322,SV00266,Signal failure,Infrastructure,5
DE000323,SV00267,Rolling stock,Fleet,24
DE000324,SV00268,Track fault,Infrastructure,42
DE000325,SV00270,Points failure,Infrastructure,7
DE000326,SV00270,Points failure,Infrastructure,20
DE000327,SV00271,Points failure,Infrastructure,21
DE000328,SV00272,Passenger incident,External,5
DE000329,SV00273,Track fault,Infrastructure,3
DE000330,SV00274,Staffing,Operations,12
DE000331,SV00274,Rolling stock,Fleet,67
DE000332,SV00276,Rolling stock,Fleet,11
DE000333,SV00277,Passenger incident,External,56
DE000334,SV00278,Rolling stock,Fleet,45
DE000335,SV00279,Congestion,Network,16
DE000336,SV00280,Staffing,Operations,2
DE000337,SV00280,Weather,External,3
DE000338,SV00281,Congestion,Network,30
DE000339,SV00281,Signal failure,Infrastructure,17
DE000340,SV00282,Signal failure,Infrastructure,6
DE000341,SV00282,Track fault,Infrastructure,26
DE000342,SV00283,Points failure,Infrastructure,3
DE000343,SV00283,Congestion,Network,11
DE000344,SV00284,Points failure,Infrastructure,28
DE000345,SV00285,Congestion,Network,25
DE000346,SV00285,Weather,External,14
DE000347,SV00286,Weather,External,9
DE000348,SV00287,Points failure,Infrastructure,31
DE000349,SV00287,Rolling stock,Fleet,5
DE000350,SV00288,Weather,External,3
DE000351,SV00288,Passenger incident,External,1
DE000352,SV00289,Weather,External,1
DE000353,SV00289,Rolling stock,Fleet,46
DE000354,SV00290,Congestion,Network,7
DE000355,SV00290,Weather,External,4
DE000356,SV00293,Passenger incident,External,15
DE000357,SV00293,Passenger incident,External,11
DE000358,SV00294,Congestion,Network,12
DE000359,SV00295,Passenger incident,External,12
DE000360,SV00295,Staffing,Operations,14
DE000361,SV00296,Rolling stock,Fleet,54
DE000362,SV00296,Weather,External,14
DE000363,SV00297,Points failure,Infrastructure,19
DE000364,SV00298,Points failure,Infrastructure,43
DE000365,SV00298,Rolling stock,Fleet,9
DE000366,SV00300,Points failure,Infrastructure,12
DE000367,SV00301,Weather,External,24
DE000368,SV00302,Staffing,Operations,7
DE000369,SV00304,Congestion,Network,12
DE000370,SV00304,Weather,External,2
DE000371,SV00305,Points failure,Infrastructure,4
DE000372,SV00305,Track fault,Infrastructure,13
DE000373,SV00306,Congestion,Network,39
DE000374,SV00307,Points failure,Infrastructure,4
DE000375,SV00307,Rolling stock,Fleet,4
DE000376,SV00308,Weather,External,5
DE000377,SV00308,Signal failure,Infrastructure,2
DE000378,SV00310,Signal failure,Infrastructure,5
DE000379,SV00310,Passenger incident,External,29
DE000380,SV00311,Track fault,Infrastructure,24
DE000381,SV00311,Points failure,Infrastructure,7
DE000382,SV00312,Points failure,Infrastructure,10
DE000383,SV00313,Signal failure,Infrastructure,17
DE000384,SV00314,Congestion,Network,3
DE000385,SV00314,Track fault,Infrastructure,6
DE000386,SV00316,Passenger incident,External,4
DE000387,SV00316,Congestion,Network,1
DE000388,SV00317,Weather,External,7
DE000389,SV00319,Rolling stock,Fleet,4
DE000390,SV00319,Staffing,Operations,3
DE000391,SV00320,Rolling stock,Fleet,6
DE000392,SV00321,Congestion,Network,9
DE000393,SV00324,Staffing,Operations,25
DE000394,SV00326,Points failure,Infrastructure,8
DE000395,SV00327,Congestion,Network,6
DE000396,SV00329,Staffing,Operations,29
DE000397,SV00330,Passenger incident,External,18
DE000398,SV00332,Rolling stock,Fleet,4
DE000399,SV00332,Signal failure,Infrastructure,9
DE000400,SV00334,Passenger incident,External,9
DE000401,SV00336,Congestion,Network,42
DE000402,SV00337,Staffing,Operations,29
DE000403,SV00337,Signal failure,Infrastructure,23
DE000404,SV00339,Signal failure,Infrastructure,12
DE000405,SV00341,Weather,External,16
DE000406,SV00341,Track fault,Infrastructure,25
DE000407,SV00342,Weather,External,35
DE000408,SV00343,Signal failure,Infrastructure,6
DE000409,SV00345,Signal failure,Infrastructure,1
DE000410,SV00345,Track fault,Infrastructure,12
DE000411,SV00348,Congestion,Network,36
DE000412,SV00351,Congestion,Network,7
DE000413,SV00352,Rolling stock,Fleet,8
DE000414,SV00353,Points failure,Infrastructure,8
DE000415,SV00354,Track fault,Infrastructure,16
DE000416,SV00356,Weather,External,20
DE000417,SV00356,Weather,External,12
DE000418,SV00358,Points failure,Infrastructure,4
DE000419,SV00358,Weather,External,23
DE000420,SV00359,Congestion,Network,11
DE000421,SV00361,Track fault,Infrastructure,3
DE000422,SV00361,Signal failure,Infrastructure,6
DE000423,SV00362,Track fault,Infrastructure,1
DE000424,SV00362,Points failure,Infrastructure,13
DE000425,SV00364,Passenger incident,External,27
DE000426,SV00365,Congestion,Network,35
DE000427,SV00366,Track fault,Infrastructure,1
DE000428,SV00366,Congestion,Network,14
DE000429,SV00367,Points failure,Infrastructure,33
DE000430,SV00368,Passenger incident,External,7
DE000431,SV00368,Rolling stock,Fleet,43
DE000432,SV00369,Congestion,Network,11
DE000433,SV00369,Points failure,Infrastructure,6
DE000434,SV00370,Track fault,Infrastructure,15
DE000435,SV00371,Track fault,Infrastructure,34
DE000436,SV00373,Congestion,Network,2
DE000437,SV00373,Signal failure,Infrastructure,1
DE000438,SV00374,Points failure,Infrastructure,5
DE000439,SV00374,Weather,External,3
DE000440,SV00375,Weather,External,12
DE000441,SV00376,Congestion,Network,5
DE000442,SV00377,Weather,External,3
DE000443,SV00377,Points failure,Infrastructure,1
DE000444,SV00378,Congestion,Network,22
DE000445,SV00379,Rolling stock,Fleet,35
DE000446,SV00380,Passenger incident,External,3
DE000447,SV00380,Weather,External,5
DE000448,SV00381,Points failure,Infrastructure,5
DE000449,SV00383,Signal failure,Infrastructure,49
DE000450,SV00384,Passenger incident,External,35
DE000451,SV00386,Rolling stock,Fleet,18
DE000452,SV00386,Track fault,Infrastructure,20
DE000453,SV00387,Points failure,Infrastructure,47
DE000454,SV00388,Signal failure,Infrastructure,8
DE000455,SV00388,Track fault,Infrastructure,22
DE000456,SV00389,Weather,External,7
DE000457,SV00389,Signal failure,Infrastructure,22
DE000458,SV00390,Weather,External,19
DE000459,SV00391,Track fault,Infrastructure,6
DE000460,SV00391,Passenger incident,External,12
DE000461,SV00394,Congestion,Network,41
DE000462,SV00395,Congestion,Network,13
DE000463,SV00395,Signal failure,Infrastructure,21
DE000464,SV00396,Weather,External,18
DE000465,SV00397,Congestion,Network,20
DE000466,SV00399,Weather,External,24
DE000467,SV00400,Congestion,Network,6
DE000468,SV00401,Passenger incident,External,3
DE000469,SV00401,Rolling stock,Fleet,4
DE000470,SV00402,Weather,External,52
DE000471,SV00404,Rolling stock,Fleet,2
DE000472,SV00404,Staffing,Operations,3
DE000473,SV00405,Passenger incident,External,13
DE000474,SV00405,Staffing,Operations,22
DE000475,SV00406,Congestion,Network,3
DE000476,SV00406,Points failure,Infrastructure,5
DE000477,SV00407,Rolling stock,Fleet,2
DE000478,SV00407,Passenger incident,External,1
DE000479,SV00408,Points failure,Infrastructure,1
DE000480,SV00408,Passenger incident,External,2
DE000481,SV00409,Points failure,Infrastructure,22
DE000482,SV00410,Congestion,Network,13
DE000483,SV00410,Staffing,Operations,2
DE000484,SV00411,Rolling stock,Fleet,11
DE000485,SV00412,Points failure,Infrastructure,4
DE000486,SV00412,Staffing,Operations,2
DE000487,SV00413,Staffing,Operations,7
DE000488,SV00413,Passenger incident,External,2
DE000489,SV00415,Track fault,Infrastructure,34
DE000490,SV00417,Passenger incident,External,16
DE000491,SV00418,Rolling stock,Fleet,12
DE000492,SV00421,Signal failure,Infrastructure,20
DE000493,SV00422,Track fault,Infrastructure,13
DE000494,SV00423,Points failure,Infrastructure,2
DE000495,SV00423,Points failure,Infrastructure,2
DE000496,SV00424,Points failure,Infrastructure,32
DE000497,SV00424,Staffing,Operations,3
DE000498,SV00425,Points failure,Infrastructure,25
DE000499,SV00427,Congestion,Network,14
DE000500,SV00429,Rolling stock,Fleet,4
DE000501,SV00429,Points failure,Infrastructure,9
DE000502,SV00432,Track fault,Infrastructure,17
DE000503,SV00432,Passenger incident,External,12
DE000504,SV00434,Signal failure,Infrastructure,13
DE000505,SV00434,Points failure,Infrastructure,5
DE000506,SV00435,Weather,External,28
DE000507,SV00436,Signal failure,Infrastructure,24
DE000508,SV00436,Signal failure,Infrastructure,19
DE000509,SV00437,Staffing,Operations,11
DE000510,SV00438,Rolling stock,Fleet,5
DE000511,SV00438,Weather,External,7
DE000512,SV00439,Signal failure,Infrastructure,34
DE000513,SV00440,Congestion,Network,4
DE000514,SV00441,Points failure,Infrastructure,11
DE000515,SV00441,Weather,External,64
DE000516,SV00442,Rolling stock,Fleet,28
DE000517,SV00442,Staffing,Operations,17
DE000518,SV00443,Points failure,Infrastructure,76
DE000519,SV00443,Staffing,Operations,8
DE000520,SV00444,Congestion,Network,1
DE000521,SV00444,Track fault,Infrastructure,5
DE000522,SV00446,Staffing,Operations,17
DE000523,SV00447,Points failure,Infrastructure,21
DE000524,SV00448,Signal failure,Infrastructure,11
DE000525,SV00448,Passenger incident,External,24
DE000526,SV00449,Congestion,Network,35
DE000527,SV00451,Points failure,Infrastructure,10
DE000528,SV00452,Staffing,Operations,47
DE000529,SV00452,Points failure,Infrastructure,6
DE000530,SV00455,Rolling stock,Fleet,3
DE000531,SV00457,Rolling stock,Fleet,3
DE000532,SV00457,Weather,External,8
DE000533,SV00458,Rolling stock,Fleet,5
DE000534,SV00458,Congestion,Network,1
DE000535,SV00460,Weather,External,2
DE000536,SV00460,Weather,External,5
DE000537,SV00461,Rolling stock,Fleet,46
DE000538,SV00462,Staffing,Operations,5
DE000539,SV00463,Passenger incident,External,20
DE000540,SV00463,Congestion,Network,1
DE000541,SV00464,Congestion,Network,35
DE000542,SV00465,Congestion,Network,13
DE000543,SV00465,Congestion,Network,19
DE000544,SV00466,Congestion,Network,6
DE000545,SV00466,Signal failure,Infrastructure,9
DE000546,SV00467,Passenger incident,External,49
DE000547,SV00469,Congestion,Network,1
DE000548,SV00469,Signal failure,Infrastructure,26
DE000549,SV00470,Signal failure,Infrastructure,11
DE000550,SV00470,Signal failure,Infrastructure,2
DE000551,SV00471,Weather,External,3
DE000552,SV00473,Points failure,Infrastructure,13
DE000553,SV00474,Passenger incident,External,8
DE000554,SV00474,Track fault,Infrastructure,4
DE000555,SV00477,Track fault,Infrastructure,6
DE000556,SV00477,Track fault,Infrastructure,9
DE000557,SV00478,Weather,External,24
DE000558,SV00478,Points failure,Infrastructure,22
DE000559,SV00479,Signal failure,Infrastructure,12
DE000560,SV00479,Track fault,Infrastructure,7
DE000561,SV00480,Signal failure,Infrastructure,10
DE000562,SV00481,Points failure,Infrastructure,3
DE000563,SV00481,Signal failure,Infrastructure,6
DE000564,SV00482,Staffing,Operations,8
DE000565,SV00483,Track fault,Infrastructure,9
DE000566,SV00484,Passenger incident,External,5
DE000567,SV00484,Points failure,Infrastructure,2
DE000568,SV00485,Signal failure,Infrastructure,29
DE000569,SV00486,Signal failure,Infrastructure,2
DE000570,SV00486,Signal failure,Infrastructure,1
DE000571,SV00488,Passenger incident,External,15
DE000572,SV00488,Passenger incident,External,31
DE000573,SV00489,Congestion,Network,12
DE000574,SV00489,Points failure,Infrastructure,7
DE000575,SV00492,Congestion,Network,4
DE000576,SV00492,Staffing,Operations,1
DE000577,SV00493,Rolling stock,Fleet,3
DE000578,SV00494,Rolling stock,Fleet,3
DE000579,SV00496,Congestion,Network,10
DE000580,SV00496,Passenger incident,External,12
DE000581,SV00497,Passenger incident,External,10
DE000582,SV00499,Passenger incident,External,27
DE000583,SV00500,Weather,External,9
DE000584,SV00501,Rolling stock,Fleet,24
DE000585,SV00502,Congestion,Network,35
DE000586,SV00503,Signal failure,Infrastructure,11
DE000587,SV00503,Track fault,Infrastructure,39
DE000588,SV00505,Staffing,Operations,8
DE000589,SV00505,Staffing,Operations,24
DE000590,SV00506,Congestion,Network,3
DE000591,SV00506,Rolling stock,Fleet,1
DE000592,SV00507,Congestion,Network,23
DE000593,SV00507,Track fault,Infrastructure,1
DE000594,SV00508,Congestion,Network,25
DE000595,SV00509,Points failure,Infrastructure,13
DE000596,SV00509,Points failure,Infrastructure,7
DE000597,SV00510,Weather,External,12
DE000598,SV00511,Congestion,Network,10
DE000599,SV00511,Congestion,Network,14
DE000600,SV00512,Congestion,Network,13
DE000601,SV00513,Weather,External,8
DE000602,SV00513,Track fault,Infrastructure,27
DE000603,SV00514,Track fault,Infrastructure,10
DE000604,SV00515,Signal failure,Infrastructure,20
DE000605,SV00515,Signal failure,Infrastructure,31
DE000606,SV00516,Points failure,Infrastructure,9
DE000607,SV00518,Track fault,Infrastructure,24
DE000608,SV00518,Rolling stock,Fleet,11
DE000609,SV00519,Congestion,Network,4
DE000610,SV00520,Signal failure,Infrastructure,35
DE000611,SV00520,Passenger incident,External,10
DE000612,SV00521,Rolling stock,Fleet,3
DE000613,SV00521,Weather,External,3
DE000614,SV00523,Passenger incident,External,5
DE000615,SV00523,Staffing,Operations,15
DE000616,SV00524,Signal failure,Infrastructure,16
DE000617,SV00525,Staffing,Operations,33
DE000618,SV00525,Congestion,Network,19
DE000619,SV00526,Passenger incident,External,81
DE000620,SV00526,Weather,External,3
DE000621,SV00528,Staffing,Operations,7
DE000622,SV00528,Signal failure,Infrastructure,3
DE000623,SV00529,Rolling stock,Fleet,14
DE000624,SV00529,Weather,External,31
DE000625,SV00530,Rolling stock,Fleet,8
DE000626,SV00531,Points failure,Infrastructure,3
DE000627,SV00531,Rolling stock,Fleet,5
DE000628,SV00533,Points failure,Infrastructure,56
DE000629,SV00535,Points failure,Infrastructure,8
