TaskID,ProjectID,Budget,ProposalEstimate,ActualsToDate,Accrual,FullYearForecast,AFC,CostRemaining
TK000031,PJ0004,0,0,20537.18,1187.16,60917.19,60917.19,40380.01
TK000032,PJ0004,0,0,0.0,0.0,0.0,0.0,0.0
TK000033,PJ0004,124264.79,124264.79,0.0,0.0,0.0,0.0,0.0
TK000034,PJ0004,1878624.11,1878624.11,0.0,0.0,0.0,0.0,0.0
TK000035,PJ0004,0,0,112590.44,5296.65,515573.57,515573.57,402983.13
TK000036,PJ0004,651588.27,651588.27,0.0,0.0,0.0,0.0,0.0
TK000037,PJ0004,1252167.85,1390542.87,0.0,0.0,0.0,0.0,0.0
TK000038,PJ0004,0,0,5503.15,165.07,13697.07,13697.07,8193.92
TK000039,PJ0005,0,0,0.0,0.0,0.0,0.0,0.0
TK000040,PJ0005,153447.02,153447.02,0.0,0.0,0.0,0.0,0.0
TK000041,PJ0005,0,0,0.0,0.0,0.0,0.0,0.0
TK000042,PJ0005,0,0,0.0,0.0,0.0,0.0,0.0
TK000043,PJ0005,0,0,0.0,0.0,0.0,0.0,0.0
TK000044,PJ0005,0,0,0.0,0.0,0.0,0.0,0.0
TK000045,PJ0005,141080.23,141080.23,0.0,0.0,0.0,0.0,0.0
TK000046,PJ0005,187480.86,187480.86,0.0,0.0,0.0,0.0,0.0
TK000047,PJ0006,0,0,4601.16,379.45,16227.41,19134.61,14533.45
TK000048,PJ0006,334989.75,334989.75,0.0,0.0,0.0,0.0,0.0
TK000049,PJ0006,10044692.8,11293176.48,883843.3,49033.95,4180181.76,4180181.76,3296338.46
TK000050,PJ0006,0,0,0.0,0.0,0.0,0.0,0.0
TK000051,PJ0006,0,0,0.0,0.0,0.0,0.0,0.0
TK000052,PJ0006,0,0,0.0,0.0,0.0,0.0,0.0
TK000053,PJ0006,98794.43,98794.43,0.0,0.0,0.0,0.0,0.0
TK000054,PJ0006,0,0,0.0,0.0,0.0,0.0,0.0
TK000055,PJ0006,0,0,0.0,0.0,0.0,0.0,0.0
TK000056,PJ0006,0,0,0.0,0.0,0.0,0.0,0.0
TK000057,PJ0007,0,0,0.0,0.0,0.0,0.0,0.0
TK000058,PJ0007,0,0,39791.44,1121.52,125729.96,125729.96,85938.52
TK000059,PJ0007,0,0,0.0,0.0,0.0,0.0,0.0
TK000060,PJ0007,0,0,0.0,0.0,0.0,0.0,0.0
TK000061,PJ0007,0,0,0.0,0.0,0.0,0.0,0.0
TK000062,PJ0007,0,0,0.0,0.0,0.0,0.0,0.0
TK000063,PJ0007,0,0,0.0,0.0,0.0,0.0,0.0
TK000064,PJ0007,0,0,0.0,0.0,0.0,0.0,0.0
TK000065,PJ0007,0,0,66493.96,5947.52,253286.5,253286.5,186792.54
TK000066,PJ0007,0,0,0.0,0.0,0.0,0.0,0.0
TK000067,PJ0007,0,0,0.0,0.0,0.0,0.0,0.0
TK000068,PJ0007,8882722.43,8882722.43,0.0,0.0,0.0,0.0,0.0
TK000069,PJ0007,0,0,0.0,0.0,0.0,0.0,0.0
TK000070,PJ0008,0,0,0.0,0.0,0.0,0.0,0.0
TK000071,PJ0008,0,0,0.0,0.0,0.0,0.0,0.0
TK000072,PJ0008,0,0,0.0,0.0,0.0,0.0,0.0
TK000073,PJ0008,618977.93,618977.93,0.0,0.0,0.0,0.0,0.0
TK000074,PJ0008,0,0,0.0,0.0,0.0,0.0,0.0
TK000075,PJ0008,0,0,297214.47,8612.83,520179.6,520179.6,222965.13
TK000076,PJ0008,0,0,22988.37,1127.94,82898.4,82898.4,59910.03
TK000077,PJ0009,0,0,0.0,0.0,0.0,0.0,0.0
TK000078,PJ0009,113874.21,113874.21,0.0,0.0,0.0,0.0,0.0
TK000079,PJ0009,0,0,0.0,0.0,0.0,0.0,0.0
TK000080,PJ0009,162733.5,162733.5,21495.49,1772.85,106146.14,106146.14,84650.65
TK000081,PJ0009,0,0,0.0,0.0,0.0,0.0,0.0
TK000082,PJ0009,1843025.54,1843025.54,0.0,0.0,0.0,0.0,0.0
TK000083,PJ0009,0,0,0.0,0.0,0.0,0.0,0.0
TK000084,PJ0009,0,0,0.0,0.0,0.0,0.0,0.0
TK000085,PJ0009,0,0,0.0,0.0,0.0,0.0,0.0
TK000086,PJ0009,0,0,0.0,0.0,0.0,0.0,0.0
TK000087,PJ0009,7492277.87,7492277.87,0.0,0.0,0.0,0.0,0.0
TK000088,PJ0009,0,0,0.0,0.0,0.0,0.0,0.0
TK000089,PJ0009,770763.35,770763.35,0.0,0.0,0.0,0.0,0.0
TK000090,PJ0009,0,0,46417.36,2948.83,245713.52,245713.52,199296.16
TK000091,PJ0010,0,0,0.0,0.0,0.0,0.0,0.0
TK000092,PJ0010,0,0,0.0,0.0,0.0,0.0,0.0
TK000093,PJ0010,0,0,0.0,0.0,0.0,0.0,0.0
TK000094,PJ0010,0,0,0.0,0.0,0.0,0.0,0.0
TK000095,PJ0010,0,0,0.0,0.0,0.0,0.0,0.0
TK000096,PJ0010,85156.52,85156.52,0.0,0.0,0.0,0.0,0.0
TK000097,PJ0011,0,0,0.0,0.0,0.0,0.0,0.0
TK000098,PJ0011,10669.83,10669.83,5621.57,443.75,12391.11,12391.11,6769.54
TK000099,PJ0011,42191.89,42191.89,6679.1,547.48,24383.87,24383.87,17704.77
TK000100,PJ0011,0,0,0.0,0.0,0.0,0.0,0.0
TK000101,PJ0011,386206.55,386206.55,0.0,0.0,0.0,0.0,0.0
TK000102,PJ0011,0,0,0.0,0.0,0.0,0.0,0.0
TK000103,PJ0011,532530.88,532530.88,0.0,0.0,0.0,0.0,0.0
TK000104,PJ0011,186892.7,186892.7,0.0,0.0,0.0,0.0,0.0
TK000105,PJ0012,0,0,1799.26,92.26,7659.36,7659.36,5860.1
TK000106,PJ0012,351613.47,351613.47,0.0,0.0,0.0,0.0,0.0
TK000107,PJ0012,0,0,0.0,0.0,0.0,0.0,0.0
TK000108,PJ0012,0,0,0.0,0.0,0.0,0.0,0.0
TK000109,PJ0012,1169671.87,1169671.87,0.0,0.0,0.0,0.0,0.0
TK000110,PJ0012,2691006.97,2691006.97,0.0,0.0,0.0,0.0,0.0
TK000111,PJ0012,0,0,0.0,0.0,0.0,0.0,0.0
TK000112,PJ0013,92182.3,92182.3,0.0,0.0,0.0,0.0,0.0
TK000113,PJ0013,0,0,0.0,0.0,0.0,0.0,0.0
TK000114,PJ0013,0,0,0.0,0.0,0.0,0.0,0.0
TK000115,PJ0013,128409.37,128409.37,0.0,0.0,0.0,0.0,0.0
TK000116,PJ0013,0,0,0.0,0.0,0.0,0.0,0.0
TK000117,PJ0013,11028103.96,11028103.96,0.0,0.0,0.0,0.0,0.0
TK000118,PJ0013,68970.79,68970.79,0.0,0.0,0.0,0.0,0.0
TK000119,PJ0013,137998.7,137998.7,20688.66,1270.02,81865.24,81865.24,61176.58
TK000120,PJ0013,0,0,0.0,0.0,0.0,0.0,0.0
TK000121,PJ0013,0,0,0.0,0.0,0.0,0.0,0.0
TK000122,PJ0013,97326.73,100410.44,0.0,0.0,0.0,0.0,0.0
TK000123,PJ0014,0,0,9896.83,454.2,17768.15,17768.15,7871.32
TK000124,PJ0014,0,0,0.0,0.0,0.0,0.0,0.0
TK000125,PJ0014,1372726.8,1200620.77,0.0,0.0,0.0,0.0,0.0
TK000126,PJ0014,0,0,0.0,0.0,0.0,0.0,0.0
TK000127,PJ0014,0,0,0.0,0.0,0.0,0.0,0.0
TK000128,PJ0014,199200.46,199200.46,0.0,0.0,0.0,0.0,0.0
TK000129,PJ0015,130379.83,130379.83,0.0,0.0,0.0,0.0,0.0
TK000130,PJ0015,737160.06,737160.06,0.0,0.0,0.0,0.0,0.0
TK000131,PJ0015,7987746.25,7987746.25,0.0,0.0,0.0,0.0,0.0
TK000132,PJ0015,725107.05,823138.45,0.0,0.0,0.0,0.0,0.0
TK000133,PJ0015,103137.43,103137.43,0.0,0.0,0.0,0.0,0.0
TK000134,PJ0015,0,0,0.0,0.0,0.0,0.0,0.0
TK000135,PJ0015,6224732.79,6224732.79,0.0,0.0,0.0,0.0,0.0
TK000136,PJ0015,0,0,0.0,0.0,0.0,0.0,0.0
TK000137,PJ0015,0,0,0.0,0.0,0.0,0.0,0.0
TK000138,PJ0015,66290.2,66290.2,0.0,0.0,0.0,0.0,0.0
TK000139,PJ0016,0,0,10519.33,688.98,31836.18,31836.18,21316.85
TK000140,PJ0016,28922.02,28922.02,0.0,0.0,0.0,0.0,0.0
TK000141,PJ0016,0,0,6543.84,441.4,17588.37,17588.37,11044.53
TK000142,PJ0016,13616901.17,12319623.5,0.0,0.0,0.0,0.0,0.0
TK000143,PJ0016,0,0,0.0,0.0,0.0,0.0,0.0
TK000144,PJ0016,0,0,0.0,0.0,0.0,0.0,0.0
TK000145,PJ0016,722955.24,722955.24,164855.08,8787.67,856632.85,856632.85,691777.77
TK000146,PJ0016,1366282.88,1366282.88,0.0,0.0,0.0,0.0,0.0
TK000147,PJ0016,0,0,0.0,0.0,0.0,0.0,0.0
TK000148,PJ0016,2615094.9,2615094.9,553923.11,52412.94,3256155.12,3256155.12,2702232.01
TK000149,PJ0016,5163393.09,5163393.09,0.0,0.0,0.0,0.0,0.0
TK000150,PJ0016,0,0,0.0,0.0,0.0,0.0,0.0
TK000151,PJ0017,0,0,6851.11,639.37,26647.78,26647.78,19796.67
TK000152,PJ0017,616769.58,722866.22,175952.79,10092.08,571901.62,571901.62,395948.83
TK000153,PJ0017,8524200.07,8524200.07,0.0,0.0,0.0,0.0,0.0
TK000154,PJ0017,0,0,0.0,0.0,0.0,0.0,0.0
TK000155,PJ0017,0,0,0.0,0.0,0.0,0.0,0.0
TK000156,PJ0017,0,0,0.0,0.0,0.0,0.0,0.0
TK000157,PJ0017,0,0,0.0,0.0,0.0,0.0,0.0
TK000158,PJ0017,0,0,0.0,0.0,0.0,0.0,0.0
TK000159,PJ0017,0,0,0.0,0.0,0.0,0.0,0.0
TK000160,PJ0017,0,0,8661.52,355.52,30621.65,30621.65,21960.13
TK000161,PJ0017,0,0,0.0,0.0,0.0,0.0,0.0
TK000162,PJ0018,108597.16,108597.16,0.0,0.0,0.0,0.0,0.0
TK000163,PJ0018,0,0,0.0,0.0,0.0,0.0,0.0
TK000164,PJ0018,0,0,8540.78,598.93,44359.84,44359.84,35819.06
TK000165,PJ0018,0,0,136248.64,10493.66,510949.21,510949.21,374700.57
TK000166,PJ0018,0,0,0.0,0.0,0.0,0.0,0.0
TK000167,PJ0018,136667.31,147705.88,0.0,0.0,0.0,0.0,0.0
TK000168,PJ0018,0,0,0.0,0.0,0.0,0.0,0.0
TK000169,PJ0018,684283.03,734432.8,0.0,0.0,0.0,0.0,0.0
TK000170,PJ0018,0,0,0.0,0.0,0.0,0.0,0.0
TK000171,PJ0018,0,0,0.0,0.0,0.0,0.0,0.0
TK000172,PJ0018,0,0,166162.02,11548.17,519525.31,589942.17,423780.15
TK000173,PJ0019,0,0,0.0,0.0,0.0,0.0,0.0
TK000174,PJ0019,119745.27,119745.27,0.0,0.0,0.0,0.0,0.0
TK000175,PJ0019,0,0,42294.31,2716.62,185619.87,185619.87,143325.56
TK000176,PJ0019,0,0,0.0,0.0,0.0,0.0,0.0
TK000177,PJ0019,0,0,22310.53,1209.7,105945.35,105945.35,83634.82
TK000178,PJ0019,0,0,11989.13,1072.14,57448.11,67591.91,55602.78
TK000179,PJ0019,2908084.53,2908084.53,0.0,0.0,0.0,0.0,0.0
TK000180,PJ0019,0,0,0.0,0.0,0.0,0.0,0.0
TK000181,PJ0020,0,0,5728.18,443.42,12830.4,12830.4,7102.22
TK000182,PJ0020,687923.68,687923.68,0.0,0.0,0.0,0.0,0.0
TK000183,PJ0020,2142170.78,2275034.75,0.0,0.0,0.0,0.0,0.0
TK000184,PJ0020,0,0,1006061.25,98359.32,2241256.66,2241256.66,1235195.41
TK000185,PJ0020,0,0,0.0,0.0,0.0,0.0,0.0
TK000186,PJ0020,175999.09,175999.09,0.0,0.0,0.0,0.0,0.0
TK000187,PJ0020,0,0,9981.37,632.47,87598.75,87598.75,77617.38
TK000188,PJ0020,3260400.28,3866268.46,0.0,0.0,0.0,0.0,0.0
TK000189,PJ0020,0,0,0.0,0.0,0.0,0.0,0.0
TK000190,PJ0021,91295.44,91295.44,0.0,0.0,0.0,0.0,0.0
TK000191,PJ0021,618176.95,618176.95,0.0,0.0,0.0,0.0,0.0
TK000192,PJ0021,0,0,0.0,0.0,0.0,0.0,0.0
TK000193,PJ0021,0,0,0.0,0.0,0.0,0.0,0.0
TK000194,PJ0021,0,0,1067613.51,89662.72,3547001.11,4268717.18,3201103.67
TK000195,PJ0021,2336550.98,2336550.98,0.0,0.0,0.0,0.0,0.0
TK000196,PJ0021,2656667.36,2656667.36,0.0,0.0,0.0,0.0,0.0
TK000197,PJ0021,0,0,18869.91,902.14,56761.57,56761.57,37891.66
TK000198,PJ0022,0,0,2135.77,157.47,4012.69,4012.69,1876.92
TK000199,PJ0022,0,0,0.0,0.0,0.0,0.0,0.0
TK000200,PJ0022,0,0,0.0,0.0,0.0,0.0,0.0
TK000201,PJ0022,0,0,0.0,0.0,0.0,0.0,0.0
TK000202,PJ0022,0,0,0.0,0.0,0.0,0.0,0.0
TK000203,PJ0022,0,0,0.0,0.0,0.0,0.0,0.0
TK000204,PJ0022,126647.26,150319.04,28357.53,965.85,99851.01,99851.01,71493.48
TK000205,PJ0022,0,0,0.0,0.0,0.0,0.0,0.0
TK000206,PJ0022,167853.5,149442.87,0.0,0.0,0.0,0.0,0.0
TK000207,PJ0022,0,0,3973.59,181.83,23161.06,23161.06,19187.47
TK000208,PJ0022,142041.26,142041.26,0.0,0.0,0.0,0.0,0.0
TK000209,PJ0022,0,0,0.0,0.0,0.0,0.0,0.0
TK000210,PJ0022,0,0,0.0,0.0,0.0,0.0,0.0
TK000211,PJ0022,1073261.12,1073261.12,0.0,0.0,0.0,0.0,0.0
TK000212,PJ0023,0,0,0.0,0.0,0.0,0.0,0.0
TK000213,PJ0023,0,0,0.0,0.0,0.0,0.0,0.0
TK000214,PJ0023,2594284.82,2594284.82,499815.95,34247.85,1420022.42,1420022.42,920206.47
TK000215,PJ0023,0,0,11121.92,485.49,69538.07,69538.07,58416.15
TK000216,PJ0023,0,0,112635.32,8642.47,754187.32,940052.58,827417.26
TK000217,PJ0023,0,0,26855.38,1346.11,78014.12,78014.12,51158.74
TK000218,PJ0023,0,0,0.0,0.0,0.0,0.0,0.0
TK000219,PJ0023,0,0,0.0,0.0,0.0,0.0,0.0
TK000220,PJ0024,0,0,0.0,0.0,0.0,0.0,0.0
TK000221,PJ0024,699959.45,699959.45,0.0,0.0,0.0,0.0,0.0
TK000222,PJ0024,0,0,0.0,0.0,0.0,0.0,0.0
TK000223,PJ0024,749902.17,749902.17,0.0,0.0,0.0,0.0,0.0
TK000224,PJ0024,204634.64,204634.64,0.0,0.0,0.0,0.0,0.0
TK000225,PJ0024,0,0,0.0,0.0,0.0,0.0,0.0
TK000226,PJ0025,0,0,0.0,0.0,0.0,0.0,0.0
TK000227,PJ0025,763060.87,763060.87,0.0,0.0,0.0,0.0,0.0
TK000228,PJ0025,0,0,0.0,0.0,0.0,0.0,0.0
TK000229,PJ0025,0,0,0.0,0.0,0.0,0.0,0.0
TK000230,PJ0025,0,0,149302.98,12916.59,1034224.62,1176679.92,1027376.94
TK000231,PJ0025,2347843.67,2347843.67,0.0,0.0,0.0,0.0,0.0
TK000232,PJ0025,0,0,0.0,0.0,0.0,0.0,0.0
TK000233,PJ0025,0,0,0.0,0.0,0.0,0.0,0.0
TK000234,PJ0025,0,0,0.0,0.0,0.0,0.0,0.0
TK000235,PJ0026,0,0,0.0,0.0,0.0,0.0,0.0
TK000236,PJ0026,0,0,0.0,0.0,0.0,0.0,0.0
TK000237,PJ0026,1442161.47,1442161.47,0.0,0.0,0.0,0.0,0.0
TK000238,PJ0026,0,0,0.0,0.0,0.0,0.0,0.0
TK000239,PJ0026,0,0,0.0,0.0,0.0,0.0,0.0
TK000240,PJ0026,2952570.63,2952570.63,0.0,0.0,0.0,0.0,0.0
TK000241,PJ0026,2663692.56,2663692.56,0.0,0.0,0.0,0.0,0.0
TK000242,PJ0026,0,0,0.0,0.0,0.0,0.0,0.0
TK000243,PJ0026,10050835.85,10050835.85,0.0,0.0,0.0,0.0,0.0
TK000244,PJ0026,0,0,0.0,0.0,0.0,0.0,0.0
TK000245,PJ0027,0,0,8545.41,711.11,17327.99,17327.99,8782.58
TK000246,PJ0027,176168.84,176168.84,5426.62,147.61,43642.1,53452.83,48026.21
TK000247,PJ0027,0,0,0.0,0.0,0.0,0.0,0.0
TK000248,PJ0027,1361424.69,1361424.69,0.0,0.0,0.0,0.0,0.0
TK000249,PJ0027,0,0,0.0,0.0,0.0,0.0,0.0
TK000250,PJ0027,208253.0,208253.0,0.0,0.0,0.0,0.0,0.0
TK000251,PJ0027,0,0,0.0,0.0,0.0,0.0,0.0
TK000252,PJ0027,2304012.22,2304012.22,0.0,0.0,0.0,0.0,0.0
TK000253,PJ0028,145289.46,145289.46,11122.78,794.72,45521.67,45521.67,34398.89
TK000254,PJ0028,0,0,0.0,0.0,0.0,0.0,0.0
TK000255,PJ0028,0,0,7233.76,465.83,46473.07,46473.07,39239.31
TK000256,PJ0028,2005810.23,2005810.23,0.0,0.0,0.0,0.0,0.0
TK000257,PJ0028,0,0,4887.66,398.93,16121.33,16121.33,11233.67
TK000258,PJ0028,0,0,2711612.98,86621.71,6354895.16,6354895.16,3643282.18
TK000259,PJ0029,0,0,407.58,34.9,1874.57,1874.57,1466.99
TK000260,PJ0029,0,0,0.0,0.0,0.0,0.0,0.0
TK000261,PJ0029,0,0,0.0,0.0,0.0,0.0,0.0
TK000262,PJ0029,0,0,104963.52,3121.2,183003.92,183003.92,78040.4
TK000263,PJ0029,0,0,1264259.05,37216.41,2361898.04,2361898.04,1097638.99
TK000264,PJ0029,0,0,0.0,0.0,0.0,0.0,0.0
TK000265,PJ0029,0,0,0.0,0.0,0.0,0.0,0.0
TK000266,PJ0029,2339675.15,2339675.15,437428.38,24331.78,2461414.37,2801957.89,2364529.51
TK000267,PJ0029,706844.62,706844.62,296994.61,15981.11,786534.95,786534.95,489540.34
TK000268,PJ0030,0,0,1572.61,126.01,8563.18,8563.18,6990.57
TK000269,PJ0030,281418.42,281418.42,0.0,0.0,0.0,0.0,0.0
TK000270,PJ0030,2919031.69,2919031.69,0.0,0.0,0.0,0.0,0.0
TK000271,PJ0030,129297.39,129297.39,0.0,0.0,0.0,0.0,0.0
TK000272,PJ0030,0,0,13871.85,391.59,43367.0,43367.0,29495.15
TK000273,PJ0030,132409.14,113078.86,12101.17,313.43,54751.5,54751.5,42650.33
TK000274,PJ0030,0,0,8410.22,362.7,26161.75,26161.75,17751.53
TK000275,PJ0030,0,0,47421.13,3412.96,119459.84,130916.57,83495.44
TK000276,PJ0030,10072956.59,9067670.24,1661150.84,98559.51,5666507.53,5666507.53,4005356.69
TK000277,PJ0030,12350279.79,12350279.79,1146722.06,69783.42,3450277.67,4474867.33,3328145.27
TK000278,PJ0030,38507.82,38507.82,0.0,0.0,0.0,0.0,0.0
TK000279,PJ0030,8792641.82,8792641.82,0.0,0.0,0.0,0.0,0.0
TK000280,PJ0030,0,0,0.0,0.0,0.0,0.0,0.0
TK000281,PJ0031,0,0,0.0,0.0,0.0,0.0,0.0
TK000282,PJ0031,0,0,0.0,0.0,0.0,0.0,0.0
TK000283,PJ0031,0,0,0.0,0.0,0.0,0.0,0.0
TK000284,PJ0031,8926186.31,8926186.31,1007649.07,45552.81,4958089.99,4958089.99,3950440.92
TK000285,PJ0031,0,0,0.0,0.0,0.0,0.0,0.0
TK000286,PJ0031,1863770.39,1863770.39,438735.36,26931.07,1228079.44,1228079.44,789344.08
TK000287,PJ0031,0,0,0.0,0.0,0.0,0.0,0.0
TK000288,PJ0031,0,0,0.0,0.0,0.0,0.0,0.0
TK000289,PJ0032,104527.51,104527.51,16936.47,344.4,81268.83,81268.83,64332.36
TK000290,PJ0032,239306.56,239599.18,32473.7,1964.47,150418.3,150418.3,117944.6
TK000291,PJ0032,0,0,89181.77,7211.43,313515.85,313515.85,224334.08
TK000292,PJ0032,0,0,0.0,0.0,0.0,0.0,0.0
TK000293,PJ0032,0,0,897.75,77.77,3947.38,3947.38,3049.63
TK000294,PJ0032,0,0,0.0,0.0,0.0,0.0,0.0
TK000295,PJ0032,47794.83,47794.83,19685.94,444.0,62067.56,62067.56,42381.62
TK000296,PJ0032,0,0,0.0,0.0,0.0,0.0,0.0
TK000297,PJ0032,0,0,48167.88,4375.06,195765.13,195765.13,147597.25
TK000298,PJ0032,785083.18,785083.18,156926.07,11649.96,919678.58,919678.58,762752.51
TK000299,PJ0032,0,0,20326.9,462.77,67373.37,67373.37,47046.47
TK000300,PJ0032,0,0,0.0,0.0,0.0,0.0,0.0
TK000301,PJ0032,2099551.82,2099551.82,0.0,0.0,0.0,0.0,0.0
TK000302,PJ0033,96709.42,101511.92,0.0,0.0,0.0,0.0,0.0
TK000303,PJ0033,0,0,0.0,0.0,0.0,0.0,0.0
TK000304,PJ0033,0,0,0.0,0.0,0.0,0.0,0.0
TK000305,PJ0033,175383.54,175383.54,0.0,0.0,0.0,0.0,0.0
TK000306,PJ0033,0,0,0.0,0.0,0.0,0.0,0.0
TK000307,PJ0033,5343241.52,5343241.52,0.0,0.0,0.0,0.0,0.0
TK000308,PJ0033,0,0,0.0,0.0,0.0,0.0,0.0
TK000309,PJ0033,292163.43,292163.43,69064.21,2314.79,179382.91,179382.91,110318.7
TK000310,PJ0033,2154279.72,2500724.97,0.0,0.0,0.0,0.0,0.0
TK000311,PJ0033,44787.14,44787.14,0.0,0.0,0.0,0.0,0.0
TK000312,PJ0034,0,0,10362.51,838.36,42181.09,42181.09,31818.58
TK000313,PJ0034,0,0,0.0,0.0,0.0,0.0,0.0
TK000314,PJ0034,0,0,0.0,0.0,0.0,0.0,0.0
TK000315,PJ0034,0,0,0.0,0.0,0.0,0.0,0.0
TK000316,PJ0034,0,0,0.0,0.0,0.0,0.0,0.0
TK000317,PJ0034,106775.44,106775.44,0.0,0.0,0.0,0.0,0.0
TK000318,PJ0034,2197569.61,2197569.61,185243.76,11874.05,666706.37,666706.37,481462.61
TK000319,PJ0034,350926.23,350926.23,0.0,0.0,0.0,0.0,0.0
TK000320,PJ0034,413993.28,413993.28,109598.86,10010.24,456237.4,456237.4,346638.54
TK000321,PJ0035,64737.21,64737.21,14832.78,567.91,71095.81,71095.81,56263.03
TK000322,PJ0035,0,0,0.0,0.0,0.0,0.0,0.0
TK000323,PJ0035,455827.64,455827.64,0.0,0.0,0.0,0.0,0.0
TK000324,PJ0035,0,0,0.0,0.0,0.0,0.0,0.0
TK000325,PJ0035,264101.89,264101.89,0.0,0.0,0.0,0.0,0.0
TK000326,PJ0035,305978.62,305978.62,0.0,0.0,0.0,0.0,0.0
TK000327,PJ0036,0,0,0.0,0.0,0.0,0.0,0.0
TK000328,PJ0036,390983.15,347375.13,39098.54,3404.03,123021.36,123021.36,83922.82
TK000329,PJ0036,341839.42,341839.42,101508.14,4887.6,284996.4,284996.4,183488.26
TK000330,PJ0036,0,0,0.0,0.0,0.0,0.0,0.0
TK000331,PJ0036,101939.05,117196.13,36096.63,3028.89,128226.8,161866.6,125769.97
TK000332,PJ0036,7715882.08,7715882.08,2007907.54,138987.38,6236853.72,6236853.72,4228946.18
TK000333,PJ0036,177476.74,177476.74,"11,107.96",452.7,71089.32,78257.4,67149.44
TK000334,PJ0036,145130.31,145130.31,0.0,0.0,0.0,0.0,0.0
TK000335,PJ0036,0,0,0.0,0.0,0.0,0.0,0.0
TK000336,PJ0036,2773464.2,3057979.23,0.0,0.0,0.0,0.0,0.0
TK000337,PJ0036,0,0,0.0,0.0,0.0,0.0,0.0
TK000338,PJ0036,825025.75,825025.75,0.0,0.0,0.0,0.0,0.0
TK000339,PJ0037,122906.39,122906.39,52389.58,1846.82,142632.9,158605.8,106216.22
TK000340,PJ0037,790078.12,790078.12,0.0,0.0,0.0,0.0,0.0
TK000341,PJ0037,0,0,0.0,0.0,0.0,0.0,0.0
TK000342,PJ0037,0,0,0.0,0.0,0.0,0.0,0.0
TK000343,PJ0037,0,0,169153.57,12489.62,839156.55,839156.55,670002.98
TK000344,PJ0037,0,0,0.0,0.0,0.0,0.0,0.0
TK000345,PJ0037,0,0,0.0,0.0,0.0,0.0,0.0
TK000346,PJ0037,0,0,529018.26,24910.91,2712231.29,2712231.29,2183213.03
TK000347,PJ0037,0,0,0.0,0.0,0.0,0.0,0.0
TK000348,PJ0037,725146.74,725146.74,0.0,0.0,0.0,0.0,0.0
TK000349,PJ0038,65675.02,65675.02,4793.14,318.59,22876.4,22876.4,18083.26
TK000350,PJ0038,0,0,27642.96,2236.56,121717.13,121717.13,94074.17
TK000351,PJ0038,961528.53,961528.53,0.0,0.0,0.0,0.0,0.0
TK000352,PJ0038,0,0,0.0,0.0,0.0,0.0,0.0
TK000353,PJ0038,0,0,0.0,0.0,0.0,0.0,0.0
TK000354,PJ0038,0,0,0.0,0.0,0.0,0.0,0.0
TK000355,PJ0038,819091.48,945337.14,90425.18,4132.16,186618.04,186618.04,96192.86
TK000356,PJ0038,8416209.72,8416209.72,0.0,0.0,0.0,0.0,0.0
