FleetID,FailureDate,FailureType,DowntimeHours,DelayMinutes
FL00029,2025-07-02,HVAC,10.5,64
FL00030,2025-08-06,HVAC,11.5,47
FL00030,2025-06-13,Electrical,17.1,20
FL00031,2025-06-07,Engine,22.0,36
FL00031,2025-08-30,HVAC,14.4,72
FL00032,2025-06-24,Engine,14.8,1
FL00032,2025-08-02,Door,9.6,52
FL00033,2025-08-27,Electrical,17.1,58
FL00034,2025-07-12,Door,8.4,22
FL00034,2025-08-07,Engine,8.2,29
FL00034,2025-07-09,HVAC,8.9,77
FL00035,2025-08-22,Brake,10.5,29
FL00035,2025-06-11,HVAC,8.4,66
FL00035,2025-07-18,Brake,18.0,20
FL00036,2025-06-06,Brake,4.5,37
FL00037,2025-07-20,Engine,15.5,39
FL00037,2025-07-26,Brake,3.0,20
FL00037,2025-06-11,HVAC,3.1,29
FL00037,2025-08-22,Electrical,15.7,53
FL00037,2025-07-25,Brake,9.0,41
FL00040,2025-06-28,Brake,14.6,50
FL00040,2025-07-22,Brake,10.6,36
FL00041,2025-08-25,HVAC,14.6,59
FL00043,2025-06-23,Brake,0.5,63
FL00044,2025-07-02,Brake,10.7,9
FL00044,2025-06-03,Electrical,5.9,67
FL00044,2025-06-15,Brake,17.1,73
FL00046,2025-08-31,HVAC,11.6,59
FL00046,2025-07-22,Brake,6.9,31
FL00046,2025-07-31,Door,8.8,28
FL00046,2025-08-26,Electrical,17.9,65
FL00046,2025-07-16,Electrical,10.0,34
FL00047,2025-08-06,HVAC,17.4,62
FL00047,2025-07-08,HVAC,20.8,53
FL00047,2025-08-08,Electrical,4.9,72
FL00050,2025-06-17,Engine,21.0,56
FL00050,2025-08-10,Engine,21.0,29
FL00050,2025-06-16,Brake,4.9,49
FL00051,2025-07-19,Electrical,13.7,44
FL00051,2025-06-18,Electrical,26.3,83
FL00051,2025-08-25,Brake,0.5,63
FL00053,2025-07-03,Door,8.9,34
FL00053,2025-06-21,Engine,15.7,79
FL00053,2025-06-07,HVAC,15.9,62
FL00054,2025-06-11,Door,12.3,35
FL00055,2025-06-08,Door,1.9,57
FL00055,2025-07-18,Brake,16.7,35
FL00055,2025-07-12,Electrical,14.4,66
FL00056,2025-07-28,HVAC,9.3,21
FL00056,2025-08-30,Door,11.1,32
FL00056,2025-07-11,Door,16.8,24
FL00058,2025-06-17,HVAC,28.3,30
FL00059,2025-07-18,Electrical,6.0,20
FL00059,2025-08-31,Engine,18.1,42
FL00060,2025-07-02,Door,16.3,16
FL00060,2025-07-16,Electrical,3.5,58
FL00060,2025-07-18,Brake,8.7,27
FL00060,2025-07-13,HVAC,22.0,58
FL00061,2025-07-07,Brake,12.2,12
FL00061,2025-07-16,Door,9.8,25
FL00061,2025-07-10,Brake,4.8,19
FL00061,2025-07-28,Door,17.2,64
FL00062,2025-08-01,Engine,17.5,38
FL00062,2025-07-09,Door,10.7,22
FL00062,2025-06-26,Electrical,3.9,25
FL00063,2025-08-31,HVAC,1.8,71
FL00063,2025-08-20,Brake,14.3,50
FL00063,2025-07-09,Brake,11.7,27
FL00063,2025-08-14,HVAC,15.7,61
FL00064,2025-07-07,Engine,6.8,47
FL00065,2025-07-02,Engine,15.1,44
FL00066,2025-07-04,Door,16.5,20
FL00066,2025-07-15,Engine,8.0,34
FL00067,2025-07-18,Engine,12.6,44
FL00067,2025-07-21,Engine,12.8,68
FL00067,2025-06-26,Electrical,7.7,85
FL00067,2025-08-03,Door,19.6,67
FL00067,2025-07-08,Engine,15.8,28
FL00067,2025-06-06,Engine,7.9,18
FL00067,2025-07-16,Electrical,16.2,24
FL00068,2025-07-10,Engine,17.6,36
FL00068,2025-08-30,Engine,19.0,46
FL00068,2025-06-12,Electrical,0.5,39
FL00068,2025-06-27,Engine,5.6,66
FL00069,2025-06-06,Brake,14.7,72
FL00069,2025-08-18,Electrical,16.8,34
FL00069,2025-07-14,Brake,8.1,60
FL00069,2025-06-30,Brake,5.8,47
FL00069,2025-07-01,Door,6.7,50
FL00069,2025-08-02,Door,14.3,47
FL00070,2025-07-05,Brake,11.4,68
FL00070,2025-08-04,Engine,14.9,40
FL00070,2025-07-22,HVAC,10.0,70
FL00070,2025-07-16,Door,5.3,39
FL00071,2025-08-10,Engine,17.4,45
FL00071,2025-07-11,Brake,15.1,10
FL00072,2025-07-13,Electrical,14.0,46
FL00072,2025-08-13,Brake,1.5,42
FL00073,2025-06-04,Engine,14.6,42
FL00073,2025-08-16,Electrical,12.6,54
FL00074,2025-06-20,Engine,10.3,73
FL00074,2025-08-12,Electrical,5.8,31
FL00074,2025-08-15,Door,16.4,0
FL00075,2025-08-21,Brake,15.1,61
FL00075,2025-06-27,HVAC,9.6,43
FL00075,2025-06-24,Brake,14.4,54
FL00075,2025-06-25,Electrical,4.7,28
FL00076,2025-07-03,Engine,7.9,45
FL00076,2025-08-11,Door,16.7,40
FL00076,2025-08-30,Door,17.9,44
FL00076,2025-08-29,Engine,9.6,43
FL00077,2025-08-17,Brake,7.0,88
FL00077,2025-06-25,Door,20.8,64
FL00078,2025-06-30,Brake,16.7,60
FL00079,2025-07-09,Engine,18.1,32
FL00080,2025-06-07,HVAC,10.2,47
FL00081,2025-06-04,Door,24.8,60
FL00081,2025-06-05,Door,11.9,23
FL00082,2025-07-17,Brake,15.2,47
FL00082,2025-06-21,Door,13.4,4
FL00082,2025-06-21,Brake,11.0,64
FL00083,2025-07-30,HVAC,8.7,55
FL00083,2025-08-29,Engine,17.5,34
FL00085,2025-08-11,Brake,15.1,72
FL00085,2025-07-18,Brake,1.8,50
FL00085,2025-06-12,HVAC,20.6,48
FL00086,2025-07-30,HVAC,15.6,18
FL00086,2025-08-25,Door,7.1,58
FL00086,2025-07-05,Door,13.3,15
FL00086,2025-08-27,Brake,2.7,22
FL00087,2025-08-12,Door,10.3,36
FL00088,2025-07-17,Engine,15.8,37
FL00088,2025-06-18,Brake,13.6,19
FL00089,2025-07-06,HVAC,2.4,58
FL00090,2025-08-03,Engine,16.0,31
FL00090,2025-07-29,Engine,16.8,53
FL00090,2025-06-23,Engine,17.6,42
FL00090,2025-06-26,Engine,25.8,16
FL00091,2025-06-17,Electrical,7.5,59
FL00091,2025-06-23,Brake,5.9,82
FL00092,2025-06-29,HVAC,12.1,22
FL00093,2025-08-21,HVAC,22.0,11
FL00093,2025-06-12,Door,22.6,26
FL00094,2025-06-14,Door,11.5,59
FL00094,2025-08-03,Engine,13.3,72
FL00095,2025-08-17,Electrical,20.6,110
FL00095,2025-06-18,Door,13.3,76
FL00095,2025-08-18,Brake,22.6,36
FL00095,2025-07-17,HVAC,7.7,23
FL00095,2025-06-09,Door,3.0,35
FL00096,2025-06-26,Door,10.0,34
FL00096,2025-08-14,Door,5.3,49
FL00096,2025-07-13,Door,15.8,41
FL00096,2025-08-12,Door,0.5,25
FL00096,2025-07-01,Engine,3.0,36
FL00097,2025-07-03,Door,15.1,72
FL00097,2025-07-20,Engine,9.8,89
FL00098,2025-07-29,Electrical,17.9,68
FL00098,2025-07-02,Engine,10.9,51
FL00099,2025-08-19,Electrical,0.5,27
FL00099,2025-08-02,Door,20.7,16
FL00099,2025-07-15,Engine,9.0,83
FL00100,2025-07-31,Door,9.3,66
FL00100,2025-08-25,Electrical,13.5,76
FL00101,2025-07-21,Door,4.2,45
FL00101,2025-06-02,Electrical,6.0,58
FL00101,2025-08-10,Door,8.6,76
FL00104,2025-08-02,Door,19.5,73
FL00104,2025-06-24,Electrical,12.7,66
FL00105,2025-08-25,Engine,13.8,57
FL00105,2025-08-05,Electrical,16.4,43
FL00105,2025-06-16,Engine,15.5,21
FL00105,2025-08-17,HVAC,3.7,49
FL00105,2025-08-29,Door,17.7,34
FL00106,2025-08-08,Engine,5.5,46
FL00106,2025-07-09,Brake,10.0,76
FL00107,2025-07-30,HVAC,18.0,63
FL00108,2025-06-23,Electrical,11.0,56
FL00108,2025-06-27,Electrical,3.7,19
FL00108,2025-06-30,HVAC,12.0,79
FL00108,2025-06-05,Door,18.0,10
FL00109,2025-08-23,HVAC,18.1,44
FL00110,2025-06-02,Electrical,12.7,40
FL00110,2025-06-28,Electrical,18.9,66
FL00110,2025-07-25,Engine,1.8,36
