FleetID,Date,Status,HoursInService
FL00001,2025-08-04,In service,24.85
FL00001,2025-08-05,In service,6.21
FL00001,2025-08-06,In service,13.34
FL00001,2025-08-07,In service,19.29
FL00001,2025-08-08,In service,8.06
FL00001,2025-08-09,In service,19.61
FL00001,2025-08-10,In service,16.62
FL00001,2025-08-11,Under maintenance,0.0
FL00001,2025-08-12,In service,15.15
FL00001,2025-08-13,In service,16.83
FL00001,2025-08-14,In service,10.25
FL00001,2025-08-15,In service,11.72
FL00001,2025-08-16,In service,14.63
FL00001,2025-08-17,In service,10.03
FL00001,2025-08-18,In service,6.83
FL00001,2025-08-19,In service,15.11
FL00001,2025-08-20,In service,19.76
FL00001,2025-08-21,In service,17.13
FL00001,2025-08-22,In service,21.59
FL00001,2025-08-23,In service,7.34
FL00001,2025-08-24,Under maintenance,0.0
FL00001,2025-08-25,Under maintenance,0.0
FL00001,2025-08-26,In service,14.03
FL00001,2025-08-27,In service,13.72
FL00001,2025-08-28,Under maintenance,0.0
FL00001,2025-08-29,In service,8.96
FL00001,2025-08-30,In service,19.01
FL00001,2025-08-31,In service,13.07
FL00002,2025-06-01,Under maintenance,0.0
FL00002,2025-06-02,In service,14.56
FL00002,2025-06-03,In service,9.64
FL00002,2025-06-04,Under maintenance,0.0
FL00002,2025-06-05,In service,16.34
FL00002,2025-06-06,In service,21.39
FL00002,2025-06-07,Under maintenance,0.0
FL00002,2025-06-08,In service,15.91
FL00002,2025-06-09,Under maintenance,0.0
FL00002,2025-06-10,In service,17.36
FL00002,2025-06-11,In service,21.15
FL00002,2025-06-12,In service,17.46
FL00002,2025-06-13,In service,17.07
FL00002,2025-06-14,Under maintenance,0.0
FL00002,2025-06-15,Under maintenance,0.0
FL00002,2025-06-16,In service,16.0
FL00002,2025-06-17,In service,21.98
FL00002,2025-06-18,In service,16.05
FL00002,2025-06-19,Under maintenance,0.0
FL00002,2025-06-20,In service,12.56
FL00002,2025-06-21,In service,15.45
FL00002,2025-06-22,In service,19.36
FL00002,2025-06-23,In service,27.37
FL00002,2025-06-24,In service,17.68
FL00002,2025-06-25,In service,16.71
FL00002,2025-06-26,In service,22.66
FL00002,2025-06-27,In service,18.3
FL00002,2025-06-28,In service,24.63
FL00002,2025-06-29,In service,11.01
FL00002,2025-06-30,In service,11.07
FL00002,2025-07-01,In service,11.91
FL00002,2025-07-02,In service,20.45
FL00002,2025-07-03,In service,17.7
FL00002,2025-07-04,In service,14.74
FL00002,2025-07-05,In service,17.74
FL00002,2025-07-06,In service,21.25
FL00002,2025-07-07,In service,14.48
FL00002,2025-07-08,Under maintenance,0.0
FL00002,2025-07-09,In service,19.78
FL00002,2025-07-10,In service,13.61
FL00002,2025-07-11,In service,18.58
FL00002,2025-07-12,In service,28.48
FL00002,2025-07-13,In service,13.4
FL00002,2025-07-14,In service,20.0
FL00002,2025-07-15,In service,16.03
FL00002,2025-07-16,In service,18.64
FL00002,2025-07-17,In service,12.16
FL00002,2025-07-18,In service,19.43
FL00002,2025-07-19,Under maintenance,0.0
FL00002,2025-07-20,In service,14.69
FL00002,2025-07-21,In service,11.99
FL00002,2025-07-22,In service,16.17
FL00002,2025-07-23,In service,16.8
FL00002,2025-07-24,Under maintenance,0.0
FL00002,2025-07-25,In service,17.82
FL00002,2025-07-26,In service,15.26
FL00002,2025-07-27,In service,18.53
FL00002,2025-07-28,In service,14.16
FL00002,2025-07-29,In service,14.05
FL00002,2025-07-30,In service,12.2
FL00002,2025-07-31,Under maintenance,0.0
FL00002,2025-08-01,In service,18.85
FL00002,2025-08-02,Under maintenance,0.0
FL00002,2025-08-03,In service,17.73
FL00002,2025-08-04,In service,15.69
FL00002,2025-08-05,Under maintenance,0.0
FL00002,2025-08-06,Under maintenance,0.0
FL00002,2025-08-07,In service,15.53
FL00002,2025-08-08,In service,16.05
FL00002,2025-08-09,In service,13.07
FL00002,2025-08-10,In service,12.24
FL00002,2025-08-11,In service,11.6
FL00002,2025-08-12,In service,15.13
FL00002,2025-08-13,In service,4.22
FL00002,2025-08-14,In service,23.87
FL00002,2025-08-15,Under maintenance,0.0
FL00002,2025-08-16,In service,18.16
FL00002,2025-08-17,Under maintenance,0.0
FL00002,2025-08-18,In service,16.67
FL00002,2025-08-19,In service,17.19
FL00002,2025-08-20,Under maintenance,0.0
FL00002,2025-08-21,In service,9.63
FL00002,2025-08-22,Under maintenance,0.0
FL00002,2025-08-23,In service,16.5
FL00002,2025-08-24,In service,13.39
FL00002,2025-08-25,In service,13.17
FL00002,2025-08-26,In service,20.05
FL00002,2025-08-27,In service,22.11
FL00002,2025-08-28,In service,7.66
FL00002,2025-08-29,In service,17.26
FL00002,2025-08-30,In service,19.0
FL00002,2025-08-31,Under maintenance,0.0
FL00003,2025-06-01,Under maintenance,0.0
FL00003,2025-06-02,In service,5.99
FL00003,2025-06-03,In service,22.05
FL00003,2025-06-04,In service,17.18
FL00003,2025-06-05,In service,15.35
FL00003,2025-06-06,In service,14.1
FL00003,2025-06-07,In service,18.42
FL00003,2025-06-08,In service,24.26
FL00003,2025-06-09,In service,18.28
FL00003,2025-06-10,In service,16.97
FL00003,2025-06-11,In service,16.02
FL00003,2025-06-12,In service,20.42
FL00003,2025-06-13,In service,14.56
FL00003,2025-06-14,Under maintenance,0.0
FL00003,2025-06-15,Under maintenance,0.0
FL00003,2025-06-16,In service,20.99
FL00003,2025-06-17,In service,20.99
FL00003,2025-06-18,In service,21.89
FL00003,2025-06-19,In service,14.85
FL00003,2025-06-20,In service,8.16
FL00003,2025-06-21,In service,16.38
FL00003,2025-06-22,In service,16.88
FL00003,2025-06-23,In service,14.02
FL00003,2025-06-24,In service,10.72
FL00003,2025-06-25,Under maintenance,0.0
FL00003,2025-06-26,In service,13.08
FL00003,2025-06-27,In service,7.16
FL00003,2025-06-28,In service,27.19
FL00003,2025-06-29,In service,4.98
FL00003,2025-06-30,In service,10.75
FL00003,2025-07-01,In service,21.32
FL00003,2025-07-02,In service,22.9
FL00003,2025-07-03,In service,17.0
FL00003,2025-07-04,Under maintenance,0.0
FL00003,2025-07-05,In service,23.1
FL00003,2025-07-06,In service,26.15
FL00003,2025-07-07,Under maintenance,0.0
FL00003,2025-07-08,In service,12.61
FL00003,2025-07-09,In service,20.65
FL00003,2025-07-10,In service,18.71
FL00003,2025-07-11,In service,16.31
FL00003,2025-07-12,In service,21.26
FL00003,2025-07-13,Under maintenance,0.0
FL00003,2025-07-14,In service,17.04
FL00003,2025-07-15,In service,6.72
FL00003,2025-07-16,Under maintenance,0.0
FL00003,2025-07-17,In service,9.12
FL00003,2025-07-18,In service,9.68
FL00003,2025-07-19,Under maintenance,0.0
FL00003,2025-07-20,In service,7.74
FL00003,2025-07-21,In service,12.14
FL00003,2025-07-22,In service,22.51
FL00003,2025-07-23,In service,16.04
FL00003,2025-07-24,In service,6.26
FL00003,2025-07-25,In service,19.18
FL00003,2025-07-26,Under maintenance,0.0
FL00003,2025-07-27,In service,10.07
FL00003,2025-07-28,In service,17.97
FL00003,2025-07-29,In service,21.16
FL00003,2025-07-30,In service,12.96
FL00003,2025-07-31,Under maintenance,0.0
FL00003,2025-08-01,In service,13.06
FL00003,2025-08-02,In service,13.69
FL00003,2025-08-03,Under maintenance,0.0
FL00003,2025-08-04,In service,14.42
FL00003,2025-08-05,In service,18.63
FL00003,2025-08-06,In service,7.67
FL00003,2025-08-07,In service,17.59
FL00003,2025-08-08,In service,21.38
FL00003,2025-08-09,In service,14.41
FL00003,2025-08-10,In service,9.04
FL00003,2025-08-11,In service,23.22
FL00003,2025-08-12,Under maintenance,0.0
FL00003,2025-08-13,In service,12.43
FL00003,2025-08-14,In service,10.78
FL00003,2025-08-15,In service,7.68
FL00003,2025-08-16,In service,11.58
FL00003,2025-08-17,In service,17.55
FL00003,2025-08-18,In service,21.25
FL00003,2025-08-19,Under maintenance,0.0
FL00003,2025-08-20,Under maintenance,0.0
FL00003,2025-08-21,In service,15.03
FL00003,2025-08-22,Under maintenance,0.0
FL00003,2025-08-23,In service,15.58
FL00003,2025-08-24,In service,13.7
FL00003,2025-08-25,In service,11.06
FL00003,2025-08-26,In service,11.83
FL00003,2025-08-27,In service,17.53
FL00003,2025-08-28,In service,16.14
FL00003,2025-08-29,In service,21.59
FL00003,2025-08-30,Under maintenance,0.0
FL00003,2025-08-31,In service,14.7
FL00004,2025-06-01,In service,19.31
FL00004,2025-06-02,Under maintenance,0.0
FL00004,2025-06-03,Under maintenance,0.0
FL00004,2025-06-04,In service,26.79
FL00004,2025-06-05,In service,9.28
FL00004,2025-06-06,In service,15.13
FL00004,2025-06-07,In service,15.7
FL00004,2025-06-08,In service,15.61
FL00004,2025-06-09,Under maintenance,0.0
FL00004,2025-06-10,In service,10.36
FL00004,2025-06-11,In service,22.36
FL00004,2025-06-12,In service,13.94
FL00004,2025-06-13,In service,16.73
FL00004,2025-06-14,In service,17.14
FL00004,2025-06-15,In service,15.57
FL00004,2025-06-16,In service,21.65
FL00004,2025-06-17,In service,16.15
FL00004,2025-06-18,In service,13.83
FL00004,2025-06-19,In service,20.08
FL00004,2025-06-20,In service,21.49
FL00004,2025-06-21,In service,10.14
FL00004,2025-06-22,In service,9.03
FL00004,2025-06-23,In service,16.92
FL00004,2025-06-24,In service,14.66
FL00004,2025-06-25,Under maintenance,0.0
FL00004,2025-06-26,In service,18.24
FL00004,2025-06-27,In service,10.8
FL00004,2025-06-28,In service,11.66
FL00004,2025-06-29,In service,8.63
FL00004,2025-06-30,In service,10.82
FL00004,2025-07-01,In service,17.77
FL00004,2025-07-02,In service,17.97
FL00004,2025-07-03,Under maintenance,0.0
FL00004,2025-07-04,In service,16.19
FL00004,2025-07-05,In service,15.24
FL00004,2025-07-06,In service,22.45
FL00004,2025-07-07,In service,19.28
FL00004,2025-07-08,In service,13.6
FL00004,2025-07-09,In service,31.30
FL00004,2025-07-10,In service,9.96
FL00004,2025-07-11,In service,18.06
FL00004,2025-07-12,In service,15.07
FL00004,2025-07-13,In service,13.6
FL00004,2025-07-14,Under maintenance,0.0
FL00004,2025-07-15,In service,16.97
FL00004,2025-07-16,In service,9.56
FL00004,2025-07-17,In service,9.95
FL00004,2025-07-18,In service,23.14
FL00004,2025-07-19,In service,22.36
FL00004,2025-07-20,Under maintenance,0.0
FL00004,2025-07-21,In service,9.38
FL00004,2025-07-22,Under maintenance,0.0
FL00004,2025-07-23,In service,11.97
FL00004,2025-07-24,Under maintenance,0.0
FL00004,2025-07-25,Under maintenance,0.0
FL00004,2025-07-26,In service,15.61
FL00004,2025-07-27,Under maintenance,0.0
FL00004,2025-07-28,In service,18.5
FL00004,2025-07-29,Under maintenance,0.0
FL00004,2025-07-30,In service,20.42
FL00004,2025-07-31,In service,12.3
FL00004,2025-08-01,In service,20.28
FL00004,2025-08-02,In service,15.19
FL00004,2025-08-03,In service,17.69
FL00004,2025-08-04,In service,15.49
FL00004,2025-08-05,In service,17.43
FL00004,2025-08-06,Under maintenance,0.0
FL00004,2025-08-07,In service,22.92
FL00004,2025-08-08,Under maintenance,0.0
FL00004,2025-08-09,In service,12.6
FL00004,2025-08-10,In service,14.72
FL00004,2025-08-11,In service,20.43
FL00004,2025-08-12,Under maintenance,0.0
FL00004,2025-08-13,In service,18.29
FL00004,2025-08-14,Under maintenance,0.0
FL00004,2025-08-15,In service,22.76
FL00004,2025-08-16,In service,13.57
FL00004,2025-08-17,In service,10.45
FL00004,2025-08-18,In service,20.58
FL00004,2025-08-19,Under maintenance,0.0
FL00004,2025-08-20,In service,28.43
FL00004,2025-08-21,In service,17.55
FL00004,2025-08-22,In service,10.42
FL00004,2025-08-23,In service,13.7
FL00004,2025-08-24,In service,15.86
FL00004,2025-08-25,In service,21.35
FL00004,2025-08-26,In service,14.96
FL00004,2025-08-27,In service,12.06
FL00004,2025-08-28,In service,17.13
FL00004,2025-08-29,Under maintenance,0.0
FL00004,2025-08-30,In service,10.52
FL00004,2025-08-31,In service,19.82
FL00005,2025-06-01,In service,19.39
FL00005,2025-06-02,In service,15.96
FL00005,2025-06-03,In service,16.33
FL00005,2025-06-04,In service,13.0
FL00005,2025-06-05,Under maintenance,0.0
FL00005,2025-06-06,In service,12.98
FL00005,2025-06-07,In service,8.16
FL00005,2025-06-08,In service,16.91
FL00005,2025-06-09,Under maintenance,0.0
FL00005,2025-06-10,Under maintenance,0.0
FL00005,2025-06-11,In service,21.61
FL00005,2025-06-12,In service,7.69
FL00005,2025-06-13,In service,8.52
FL00005,2025-06-14,In service,12.55
FL00005,2025-06-15,In service,9.16
FL00005,2025-06-16,Under maintenance,0.0
FL00005,2025-06-17,In service,21.34
FL00005,2025-06-18,In service,15.56
FL00005,2025-06-19,Under maintenance,0.0
FL00005,2025-06-20,In service,20.05
FL00005,2025-06-21,In service,24.77
FL00005,2025-06-22,Under maintenance,0.0
FL00005,2025-06-23,In service,18.61
FL00005,2025-06-24,In service,5.58
FL00005,2025-06-25,In service,13.89
FL00005,2025-06-26,In service,22.36
FL00005,2025-06-27,In service,16.16
FL00005,2025-06-28,In service,11.53
FL00005,2025-06-29,In service,21.87
FL00005,2025-06-30,In service,26.58
FL00005,2025-07-01,In service,14.77
FL00005,2025-07-02,Under maintenance,0.0
FL00005,2025-07-03,Under maintenance,0.0
FL00005,2025-07-04,In service,8.41
FL00005,2025-07-05,In service,16.23
FL00005,2025-07-06,In service,19.74
FL00005,2025-07-07,In service,15.03
FL00005,2025-07-08,Under maintenance,0.0
FL00005,2025-07-09,In service,6.11
FL00005,2025-07-10,In service,14.47
FL00005,2025-07-11,In service,14.1
FL00005,2025-07-12,In service,12.16
FL00005,2025-07-13,In service,12.19
FL00005,2025-07-14,Under maintenance,0.0
FL00005,2025-07-15,Under maintenance,0.0
FL00005,2025-07-16,In service,22.57
FL00005,2025-07-17,In service,5.36
FL00005,2025-07-18,In service,15.36
FL00005,2025-07-19,In service,8.95
FL00005,2025-07-20,In service,14.23
FL00005,2025-07-21,In service,10.87
FL00005,2025-07-22,In service,23.67
FL00005,2025-07-23,Under maintenance,0.0
FL00005,2025-07-24,In service,5.7
FL00005,2025-07-25,In service,24.39
FL00005,2025-07-26,In service,15.64
FL00005,2025-07-27,In service,6.53
FL00005,2025-07-28,Under maintenance,0.0
FL00005,2025-07-29,In service,15.2
FL00005,2025-07-30,In service,15.61
FL00005,2025-07-31,In service,3.0
FL00005,2025-08-01,Under maintenance,0.0
FL00005,2025-08-02,Under maintenance,0.0
FL00005,2025-08-03,In service,22.27
FL00005,2025-08-04,Under maintenance,0.0
FL00005,2025-08-05,In service,22.26
FL00005,2025-08-06,In service,23.78
FL00005,2025-08-07,In service,20.66
FL00005,2025-08-08,In service,19.97
FL00005,2025-08-09,In service,26.03
FL00005,2025-08-10,In service,20.39
FL00005,2025-08-11,In service,22.74
FL00005,2025-08-12,In service,8.14
FL00005,2025-08-13,In service,14.46
FL00005,2025-08-14,In service,17.95
FL00005,2025-08-15,In service,16.37
FL00005,2025-08-16,In service,12.29
FL00005,2025-08-17,In service,20.04
FL00005,2025-08-18,In service,21.29
FL00005,2025-08-19,In service,15.6
FL00005,2025-08-20,In service,14.71
FL00005,2025-08-21,Under maintenance,0.0
FL00005,2025-08-22,In service,13.51
FL00005,2025-08-23,In service,15.41
FL00005,2025-08-24,In service,20.91
FL00005,2025-08-25,Under maintenance,0.0
FL00005,2025-08-26,Under maintenance,0.0
FL00005,2025-08-27,Under maintenance,0.0
FL00005,2025-08-28,In service,13.16
FL00005,2025-08-29,In service,18.56
FL00005,2025-08-30,Under maintenance,0.0
FL00005,2025-08-31,In service,15.76
FL00006,2025-06-01,In service,18.63
FL00006,2025-06-02,Under maintenance,0.0
FL00006,2025-06-03,In service,14.42
FL00006,2025-06-04,Under maintenance,0.0
FL00006,2025-06-05,In service,14.42
FL00006,2025-06-06,In service,19.3
FL00006,2025-06-07,In service,10.77
FL00006,2025-06-08,Under maintenance,0.0
FL00006,2025-06-09,Under maintenance,0.0
FL00006,2025-06-10,In service,12.66
FL00006,2025-06-11,In service,14.56
FL00006,2025-06-12,In service,21.15
FL00006,2025-06-13,In service,8.99
FL00006,2025-06-14,In service,13.92
FL00006,2025-06-15,In service,8.05
FL00006,2025-06-16,In service,17.86
FL00006,2025-06-17,In service,10.68
FL00006,2025-06-18,In service,14.9
FL00006,2025-06-19,In service,21.74
FL00006,2025-06-20,In service,19.16
FL00006,2025-06-21,In service,16.87
FL00006,2025-06-22,In service,18.76
FL00006,2025-06-23,In service,19.98
FL00006,2025-06-24,In service,7.02
FL00006,2025-06-25,In service,11.75
FL00006,2025-06-26,Under maintenance,0.0
FL00006,2025-06-27,In service,13.82
FL00006,2025-06-28,In service,22.7
FL00006,2025-06-29,In service,15.89
FL00006,2025-06-30,Under maintenance,0.0
FL00006,2025-07-01,In service,8.79
FL00006,2025-07-02,Under maintenance,0.0
FL00006,2025-07-03,In service,11.88
FL00006,2025-07-04,In service,11.91
FL00006,2025-07-05,In service,23.64
FL00006,2025-07-06,Under maintenance,0.0
FL00006,2025-07-07,In service,12.0
FL00006,2025-07-08,In service,11.61
FL00006,2025-07-09,In service,11.1
FL00006,2025-07-10,Under maintenance,0.0
FL00006,2025-07-11,In service,19.3
FL00006,2025-07-12,In service,21.02
FL00006,2025-07-13,In service,12.21
FL00006,2025-07-14,In service,9.77
FL00006,2025-07-15,In service,18.35
FL00006,2025-07-16,In service,16.32
FL00006,2025-07-17,Under maintenance,0.0
FL00006,2025-07-18,In service,17.59
FL00006,2025-07-19,In service,7.66
FL00006,2025-07-20,Under maintenance,0.0
FL00006,2025-07-21,In service,23.26
FL00006,2025-07-22,In service,7.22
FL00006,2025-07-23,Under maintenance,0.0
FL00006,2025-07-24,In service,17.08
FL00006,2025-07-25,In service,13.73
FL00006,2025-07-26,In service,20.23
FL00006,2025-07-27,In service,14.22
FL00006,2025-07-28,In service,21.44
FL00006,2025-07-29,Under maintenance,0.0
FL00006,2025-07-30,In service,16.3
FL00006,2025-07-31,In service,12.52
FL00006,2025-08-01,In service,16.36
FL00006,2025-08-02,In service,22.73
FL00006,2025-08-03,In service,11.1
FL00006,2025-08-04,In service,15.13
FL00006,2025-08-05,In service,14.61
FL00006,2025-08-06,In service,15.64
FL00006,2025-08-07,Under maintenance,0.0
FL00006,2025-08-08,In service,17.09
FL00006,2025-08-09,Under maintenance,0.0
FL00006,2025-08-10,In service,14.76
FL00006,2025-08-11,In service,24.62
FL00006,2025-08-12,In service,8.44
FL00006,2025-08-13,In service,16.4
FL00006,2025-08-14,In service,6.88
FL00006,2025-08-15,In service,17.49
FL00006,2025-08-16,Under maintenance,0.0
FL00006,2025-08-17,In service,16.91
FL00006,2025-08-18,In service,14.3
FL00006,2025-08-19,Under maintenance,0.0
FL00006,2025-08-20,In service,16.0
FL00006,2025-08-21,In service,19.48
FL00006,2025-08-22,In service,29.51
FL00006,2025-08-23,In service,12.57
FL00006,2025-08-24,Under maintenance,0.0
FL00006,2025-08-25,In service,12.89
FL00006,2025-08-26,In service,10.69
FL00006,2025-08-27,In service,14.72
FL00006,2025-08-28,In service,19.47
FL00006,2025-08-29,In service,20.69
FL00006,2025-08-30,In service,8.01
FL00006,2025-08-31,In service,14.06
FL00007,2025-06-01,Under maintenance,0.0
FL00007,2025-06-02,In service,13.89
FL00007,2025-06-03,In service,10.2
FL00007,2025-06-04,In service,19.01
FL00007,2025-06-05,In service,14.18
FL00007,2025-06-06,In service,20.15
FL00007,2025-06-07,In service,22.81
FL00007,2025-06-08,In service,9.59
FL00007,2025-06-09,In service,15.43
FL00007,2025-06-10,In service,17.67
FL00007,2025-06-11,Under maintenance,0.0
FL00007,2025-06-12,In service,14.05
FL00007,2025-06-13,Under maintenance,0.0
FL00007,2025-06-14,In service,16.99
FL00007,2025-06-15,In service,16.54
FL00007,2025-06-16,In service,4.64
FL00007,2025-06-17,In service,16.33
FL00007,2025-06-18,In service,17.87
FL00007,2025-06-19,In service,22.59
FL00007,2025-06-20,In service,21.45
FL00007,2025-06-21,In service,14.55
FL00007,2025-06-22,In service,19.58
FL00007,2025-06-23,In service,10.27
FL00007,2025-06-24,In service,27.67
FL00007,2025-06-25,In service,14.24
FL00007,2025-06-26,In service,17.15
FL00007,2025-06-27,In service,16.91
FL00007,2025-06-28,In service,22.12
FL00007,2025-06-29,In service,20.34
FL00007,2025-06-30,In service,25.23
FL00007,2025-07-01,In service,14.55
FL00007,2025-07-02,In service,15.21
FL00007,2025-07-03,In service,8.82
FL00007,2025-07-04,In service,17.32
FL00007,2025-07-05,Under maintenance,0.0
FL00007,2025-07-06,In service,19.25
FL00007,2025-07-07,In service,8.37
FL00007,2025-07-08,In service,20.3
FL00007,2025-07-09,Under maintenance,0.0
FL00007,2025-07-10,Under maintenance,0.0
FL00007,2025-07-11,In service,19.22
FL00007,2025-07-12,In service,12.36
FL00007,2025-07-13,In service,14.5
FL00007,2025-07-14,In service,15.62
FL00007,2025-07-15,In service,19.02
FL00007,2025-07-16,In service,17.73
FL00007,2025-07-17,In service,9.94
FL00007,2025-07-18,In service,9.71
FL00007,2025-07-19,In service,16.25
FL00007,2025-07-20,In service,2.37
FL00007,2025-07-21,In service,3.29
FL00007,2025-07-22,In service,12.03
FL00007,2025-07-23,In service,7.19
FL00007,2025-07-24,Under maintenance,0.0
FL00007,2025-07-25,In service,15.83
FL00007,2025-07-26,In service,14.42
FL00007,2025-07-27,In service,18.18
FL00007,2025-07-28,In service,18.4
FL00007,2025-07-29,Under maintenance,0.0
FL00007,2025-07-30,In service,23.17
FL00007,2025-07-31,In service,21.6
FL00007,2025-08-01,In service,18.81
FL00007,2025-08-02,In service,6.19
FL00007,2025-08-03,In service,9.19
FL00007,2025-08-04,In service,28.19
FL00007,2025-08-05,In service,15.05
FL00007,2025-08-06,Under maintenance,0.0
FL00007,2025-08-07,In service,16.92
FL00007,2025-08-08,In service,14.45
FL00007,2025-08-09,In service,19.07
FL00007,2025-08-10,In service,16.88
FL00007,2025-08-11,In service,7.89
FL00007,2025-08-12,Under maintenance,0.0
FL00007,2025-08-13,In service,9.9
FL00007,2025-08-14,In service,10.24
FL00007,2025-08-15,In service,26.26
FL00007,2025-08-16,In service,11.38
FL00007,2025-08-17,Under maintenance,0.0
FL00007,2025-08-18,In service,20.22
FL00007,2025-08-19,In service,11.3
FL00007,2025-08-20,In service,17.13
FL00007,2025-08-21,In service,22.74
FL00007,2025-08-22,In service,30.19
FL00007,2025-08-23,In service,7.04
FL00007,2025-08-24,Under maintenance,0.0
FL00007,2025-08-25,In service,7.36
FL00007,2025-08-26,Under maintenance,0.0
FL00007,2025-08-27,In service,9.76
FL00007,2025-08-28,In service,20.59
FL00007,2025-08-29,In service,9.16
FL00007,2025-08-30,In service,2.64
FL00007,2025-08-31,In service,13.61
FL00008,2025-06-01,Under maintenance,0.0
FL00008,2025-06-02,In service,9.58
FL00008,2025-06-03,In service,15.84
FL00008,2025-06-04,In service,8.48
FL00008,2025-06-05,In service,11.1
FL00008,2025-06-06,In service,11.83
FL00008,2025-06-07,In service,10.9
FL00008,2025-06-08,In service,14.1
FL00008,2025-06-09,In service,17.65
FL00008,2025-06-10,In service,18.76
FL00008,2025-06-11,In service,31.73
FL00008,2025-06-12,In service,23.72
FL00008,2025-06-13,In service,15.83
FL00008,2025-06-14,Under maintenance,0.0
FL00008,2025-06-15,In service,18.3
FL00008,2025-06-16,In service,17.16
FL00008,2025-06-17,In service,14.29
FL00008,2025-06-18,Under maintenance,0.0
FL00008,2025-06-19,Under maintenance,0.0
FL00008,2025-06-20,In service,22.23
FL00008,2025-06-21,In service,21.16
FL00008,2025-06-22,In service,19.32
FL00008,2025-06-23,In service,17.53
FL00008,2025-06-24,Under maintenance,0.0
FL00008,2025-06-25,In service,11.57
FL00008,2025-06-26,In service,14.18
FL00008,2025-06-27,In service,16.33
FL00008,2025-06-28,Under maintenance,0.0
FL00008,2025-06-29,In service,10.27
FL00008,2025-06-30,Under maintenance,0.0
FL00008,2025-07-01,In service,15.81
FL00008,2025-07-02,In service,16.67
FL00008,2025-07-03,In service,12.75
FL00008,2025-07-04,Under maintenance,0.0
FL00008,2025-07-05,Under maintenance,0.0
FL00008,2025-07-06,In service,19.56
FL00008,2025-07-07,In service,0.13
FL00008,2025-07-08,In service,14.41
FL00008,2025-07-09,In service,22.23
FL00008,2025-07-10,In service,23.76
FL00008,2025-07-11,In service,13.43
FL00008,2025-07-12,In service,13.98
FL00008,2025-07-13,Under maintenance,0.0
FL00008,2025-07-14,In service,9.52
FL00008,2025-07-15,In service,12.15
FL00008,2025-07-16,In service,10.37
FL00008,2025-07-17,In service,16.38
FL00008,2025-07-18,In service,16.8
FL00008,2025-07-19,In service,21.64
FL00008,2025-07-20,Under maintenance,0.0
FL00008,2025-07-21,Under maintenance,0.0
FL00008,2025-07-22,In service,17.29
FL00008,2025-07-23,In service,20.89
FL00008,2025-07-24,In service,10.86
FL00008,2025-07-25,In service,21.88
FL00008,2025-07-26,In service,10.57
FL00008,2025-07-27,In service,9.32
FL00008,2025-07-28,In service,17.13
FL00008,2025-07-29,Under maintenance,0.0
FL00008,2025-07-30,In service,14.83
FL00008,2025-07-31,In service,14.22
FL00008,2025-08-01,In service,14.88
FL00008,2025-08-02,In service,16.27
