WOID,FleetID,Type,Start,End,CauseCode
WO000069,FL00024,PM,2025-06-05,2025-06-05 08:50:01.007039,Inspection
WO000070,FL00024,CM,2025-07-02,2025-07-02 17:30:59.339395,Scheduled
WO000071,FL00025,PM,2025-06-11,2025-06-11 17:36:12.606263,Inspection
WO000072,FL00025,CM,2025-07-28,2025-07-28 10:46:19.155464,Inspection
WO000073,FL00025,CM,2025-07-25,2025-07-25 16:47:49.606386,Wear
WO000074,FL00026,PM,2025-06-04,2025-06-05 01:04:29.539459,Scheduled
WO000075,FL00026,PM,2025-06-04,2025-06-04 15:28:56.394225,Upgrade
WO000076,FL00026,PM,2025-08-12,2025-08-12 15:36:55.955983,Scheduled
WO000077,FL00027,PM,2025-07-28,2025-07-29 01:38:35.012845,Upgrade
WO000078,FL00027,CM,2025-08-31,2025-08-31 23:21:27.901403,Scheduled
WO000079,FL00027,PM,2025-06-25,2025-06-25 15:38:58.937871,Scheduled
WO000080,FL00027,CM,2025-08-21,2025-08-21 19:36:46.096319,Upgrade
WO000081,FL00028,CM,2025-06-25,2025-06-25 19:06:39.180647,Scheduled
WO000082,FL00028,CM,2025-06-30,2025-06-30 07:33:02.698754,Inspection
WO000083,FL00028,CM,2025-07-23,2025-07-23 14:39:54.742037,Wear
WO000084,FL00028,CM,2025-08-20,2025-08-21 00:37:29.656515,Inspection
WO000085,FL00028,CM,2025-06-13,2025-06-13 14:29:08.709923,Scheduled
WO000086,FL00028,PM,2025-08-24,2025-08-25 09:19:15.777449,Inspection
WO000087,FL00029,PM,2025-08-13,2025-08-13 13:14:31.345990,Wear
WO000088,FL00029,CM,2025-07-19,2025-07-20 04:23:14.204397,Inspection
WO000089,FL00029,PM,2025-07-30,2025-07-30 05:37:06.198804,Inspection
WO000090,FL00029,CM,2025-07-16,2025-07-16 16:36:43.329566,Scheduled
WO000091,FL00030,PM,2025-06-25,2025-06-25 12:45:47.711230,Wear
WO000092,FL00030,PM,2025-06-13,2025-06-13 01:00:00.000000,Upgrade
WO000093,FL00030,PM,2025-07-06,2025-07-07 06:00:38.500492,Scheduled
WO000094,FL00030,CM,2025-08-21,2025-08-21 14:38:18.722454,Wear
WO000095,FL00032,CM,2025-06-04,2025-06-05 11:27:46.519224,Inspection
WO000096,FL00032,PM,2025-08-25,2025-08-26 01:01:44.496707,Upgrade
WO000097,FL00032,CM,2025-07-14,2025-07-14 07:44:40.525454,Inspection
WO000098,FL00032,CM,2025-08-14,2025-08-14 18:57:10.922370,Upgrade
WO000099,FL00032,CM,2025-06-30,2025-07-01 01:48:36.322366,Inspection
WO000100,FL00032,CM,2025-06-16,2025-06-16 01:00:00.000000,Inspection
WO000101,FL00033,PM,2025-07-18,2025-07-19 02:23:16.714356,Inspection
WO000102,FL00034,PM,2025-06-12,2025-06-12 01:00:00.000000,Scheduled
WO000103,FL00034,PM,2025-06-11,2025-06-13 05:08:12.347270,Inspection
WO000104,FL00034,CM,2025-06-22,2025-06-22 21:23:09.374992,Scheduled
WO000105,FL00035,CM,2025-06-10,2025-06-11 10:18:26.267957,Inspection
WO000106,FL00035,CM,2025-06-29,2025-06-29 08:19:24.368582,Wear
WO000107,FL00035,PM,2025-08-11,2025-08-11 14:58:02.612004,Inspection
WO000108,FL00035,CM,2025-07-18,2025-07-18 20:00:33.325436,Upgrade
WO000109,FL00036,CM,2025-07-06,2025-07-06 14:28:21.999782,Upgrade
WO000110,FL00036,PM,2025-08-03,2025-08-03 09:29:58.169555,Wear
WO000111,FL00036,CM,2025-06-18,2025-06-19 16:01:48.232660,Wear
WO000112,FL00036,PM,2025-08-20,2025-08-20 02:27:13.954567,Wear
WO000113,FL00036,PM,2025-07-04,2025-07-04 16:29:56.158457,Wear
WO000114,FL00037,CM,2025-06-21,2025-06-22 01:44:29.571277,Scheduled
WO000115,FL00037,PM,2025-08-05,2025-08-06 09:38:22.608127,Inspection
WO000116,FL00038,CM,2025-07-06,2025-07-06 14:44:27.685756,Wear
WO000117,FL00038,PM,2025-08-20,2025-08-21 15:44:54.157454,Wear
WO000118,FL00038,CM,2025-08-23,2025-08-24 01:08:47.499775,Upgrade
WO000119,FL00039,PM,2025-08-26,2025-08-26 02:17:37.847950,Inspection
WO000120,FL00043,PM,2025-08-01,2025-08-01 20:51:00.846671,Upgrade
WO000121,FL00043,PM,2025-06-19,2025-06-19 13:52:23.598404,Scheduled
WO000122,FL00043,CM,2025-06-22,2025-06-23 03:14:05.292842,Inspection
WO000123,FL00043,PM,2025-08-30,2025-08-31 11:29:48.970082,Scheduled
WO000124,FL00043,CM,2025-07-30,2025-07-30 10:37:30.536037,Scheduled
WO000125,FL00044,CM,2025-06-25,2025-06-25 16:52:05.856662,Wear
WO000126,FL00044,PM,2025-08-19,2025-08-19 17:38:28.843913,Upgrade
WO000127,FL00044,PM,2025-07-17,2025-07-18 08:14:10.836827,Scheduled
WO000128,FL00044,PM,2025-07-08,2025-07-08 11:43:27.419505,Scheduled
WO000129,FL00044,PM,2025-06-03,2025-06-04 03:18:56.866428,Scheduled
WO000130,FL00044,CM,2025-07-14,2025-07-14 19:15:14.074985,Scheduled
WO000131,FL00044,CM,2025-07-19,2025-07-19 11:55:06.472142,Wear
WO000132,FL00044,PM,2025-07-28,2025-07-28 05:33:59.085446,Upgrade
WO000133,FL00045,CM,2025-08-11,2025-08-11 06:53:37.913040,Inspection
WO000134,FL00045,CM,2025-06-21,2025-06-21 13:07:16.406375,Upgrade
WO000135,FL00045,CM,2025-08-20,2025-08-20 11:26:10.732825,Wear
WO000136,FL00046,PM,2025-07-10,2025-07-10 20:39:47.509265,Upgrade
WO000137,FL00047,CM,2025-06-24,2025-06-25 03:32:05.763679,Wear
WO000138,FL00047,CM,2025-07-28,2025-07-28 23:52:33.375379,Inspection
WO000139,FL00047,CM,2025-06-10,2025-06-10 21:31:17.751477,Inspection
WO000140,FL00047,CM,2025-08-29,2025-08-29 23:21:25.874940,Inspection
WO000141,FL00048,CM,2025-06-20,2025-06-20 08:17:01.931119,Scheduled
WO000142,FL00048,PM,2025-08-17,2025-08-17 23:19:47.185172,Wear
WO000143,FL00048,CM,2025-08-05,2025-08-06 07:13:11.712115,Upgrade
WO000144,FL00048,PM,2025-08-17,2025-08-17 21:27:52.712204,Wear
WO000145,FL00049,CM,2025-06-24,2025-06-24 17:58:03.472654,Scheduled
WO000146,FL00049,CM,2025-07-08,2025-07-09 09:56:27.683520,Inspection
WO000147,FL00050,PM,2025-08-20,2025-08-20 05:32:16.274141,Inspection
WO000148,FL00050,CM,2025-08-29,2025-08-29 20:44:17.625490,Wear
WO000149,FL00050,PM,2025-07-18,2025-07-19 09:16:09.625521,Upgrade
WO000150,FL00050,CM,2025-07-22,2025-07-22 08:30:43.772919,Inspection
WO000151,FL00051,PM,2025-08-02,2025-08-03 02:43:01.384718,Upgrade
WO000152,FL00051,CM,2025-06-09,2025-06-09 19:54:10.184757,Upgrade
WO000153,FL00051,CM,2025-06-16,2025-06-17 00:55:16.057903,Wear
WO000154,FL00051,CM,2025-07-19,2025-07-19 20:37:42.862872,Wear
WO000155,FL00051,PM,2025-06-15,2025-06-15 21:44:47.226009,Upgrade
WO000156,FL00051,CM,2025-06-20,2025-06-20 16:13:34.400646,Upgrade
WO000157,FL00052,PM,2025-07-29,2025-07-29 16:12:23.313830,Inspection
WO000158,FL00052,CM,2025-07-05,2025-07-05 08:12:19.885787,Upgrade
WO000159,FL00053,CM,2025-06-03,2025-06-03 11:28:49.807961,Upgrade
WO000160,FL00053,CM,2025-07-25,2025-07-25 23:39:52.757428,Wear
WO000161,FL00054,PM,2025-06-11,2025-06-11 20:33:55.393521,Scheduled
WO000162,FL00054,PM,2025-08-28,2025-08-28 19:57:52.875037,Wear
WO000163,FL00054,PM,2025-06-21,2025-06-21 08:55:20.759251,Upgrade
WO000164,FL00055,PM,2025-07-26,2025-07-26 19:12:58.312956,Scheduled
WO000165,FL00055,PM,2025-08-09,2025-08-10 05:38:48.771419,Wear
WO000166,FL00055,CM,2025-08-20,2025-08-20 20:43:44.908148,Upgrade
WO000167,FL00055,PM,2025-07-23,2025-07-23 23:58:20.715267,Upgrade
WO000168,FL00055,CM,2025-08-26,2025-08-27 10:32:02.044193,Wear
WO000169,FL00055,PM,2025-06-09,2025-06-09 15:28:42.415638,Inspection
WO000170,FL00056,CM,2025-07-09,2025-07-10 11:27:38.790659,Upgrade
WO000171,FL00056,CM,2025-07-18,2025-07-18 04:31:23.347202,Wear
WO000172,FL00057,CM,2025-08-17,2025-08-17 18:32:06.513875,Scheduled
WO000173,FL00057,CM,2025-06-05,2025-06-05 17:01:57.603678,Inspection
WO000174,FL00057,PM,2025-08-06,2025-08-06 15:22:18.699000,Inspection
WO000175,FL00057,PM,2025-08-24,2025-08-24 16:01:24.332180,Upgrade
WO000176,FL00057,CM,2025-07-09,2025-07-10 07:15:44.069288,Scheduled
WO000177,FL00057,CM,2025-06-06,2025-06-06 18:14:44.777122,Wear
WO000178,FL00058,PM,2025-08-18,2025-08-19 09:01:38.196509,Inspection
WO000179,FL00058,PM,2025-08-08,2025-08-08 22:08:23.525771,Wear
WO000180,FL00058,CM,2025-06-17,2025-06-17 05:32:21.459695,Upgrade
WO000181,FL00058,PM,2025-08-23,2025-08-23 11:24:20.632060,Upgrade
WO000182,FL00058,PM,2025-08-04,2025-08-04 18:02:24.045369,Wear
WO000183,FL00059,PM,2025-06-24,2025-06-24 01:00:00.000000,Inspection
WO000184,FL00059,CM,2025-08-26,2025-08-26 14:31:18.031435,Inspection
WO000185,FL00059,CM,2025-08-04,2025-08-04 01:00:00.000000,Wear
WO000186,FL00059,PM,2025-08-09,2025-08-10 03:42:29.505867,Wear
WO000187,FL00059,CM,2025-08-21,2025-08-21 08:55:24.764528,Upgrade
WO000188,FL00059,PM,2025-07-08,2025-07-08 16:16:14.191241,Scheduled
WO000189,FL00059,CM,2025-08-09,2025-08-09 18:55:52.955859,Scheduled
WO000190,FL00060,PM,2025-06-25,2025-06-26 02:13:01.276411,Wear
WO000191,FL00060,PM,2025-07-28,2025-07-29 15:26:52.066863,Scheduled
WO000192,FL00061,PM,2025-06-27,2025-06-27 14:26:30.153160,Inspection
WO000193,FL00061,PM,2025-06-30,2025-07-01 02:12:34.899981,Inspection
WO000194,FL00061,PM,2025-06-11,2025-06-12 03:16:18.181099,Wear
WO000195,FL00061,CM,2025-06-24,2025-06-24 12:08:44.892210,Wear
WO000196,FL00062,CM,2025-06-19,2025-06-19 14:46:45.486305,Upgrade
WO000197,FL00062,CM,2025-08-10,2025-08-11 06:22:30.025291,Scheduled
WO000198,FL00062,CM,2025-07-18,2025-07-18 14:12:33.984156,Inspection
WO000199,FL00062,PM,2025-07-17,2025-07-18 10:21:24.659509,Inspection
WO000200,FL00063,PM,2025-07-06,2025-07-06 16:35:06.991221,Scheduled
WO000201,FL00063,CM,2025-07-06,2025-07-07 08:25:32.814201,Scheduled
WO000202,FL00063,PM,2025-06-06,2025-06-07 09:37:44.033508,Inspection
WO000203,FL00063,PM,2025-08-13,2025-08-13 23:21:29.916618,Inspection
WO000204,FL00063,PM,2025-07-02,2025-07-03 01:45:26.922327,Inspection
WO000205,FL00063,PM,2025-06-20,2025-06-20 07:28:38.388871,Upgrade
WO000206,FL00063,PM,2025-07-28,2025-07-29 03:28:58.847176,Wear
WO000207,FL00063,CM,2025-07-21,2025-07-21 22:42:43.138877,Upgrade
WO000208,FL00063,PM,2025-07-12,2025-07-12 13:00:33.596332,Upgrade
WO000209,FL00063,PM,2025-07-10,2025-07-10 08:19:03.214909,Upgrade
WO000210,FL00063,CM,2025-07-17,2025-07-18 04:31:17.892526,Scheduled
WO000211,FL00064,CM,2025-07-17,2025-07-17 16:50:41.772810,Upgrade
WO000212,FL00064,CM,2025-07-15,2025-07-16 00:30:19.865354,Scheduled
WO000213,FL00064,CM,2025-08-24,2025-08-24 20:05:07.990875,Inspection
WO000214,FL00065,PM,2025-06-17,2025-06-17 18:08:54.440476,Inspection
WO000215,FL00065,PM,2025-08-21,2025-08-21 14:52:30.184387,Inspection
WO000216,FL00065,CM,2025-06-03,2025-06-04 14:18:19.646036,Scheduled
WO000217,FL00065,CM,2025-07-10,2025-07-10 01:08:37.078133,Scheduled
WO000218,FL00065,PM,2025-07-09,2025-07-09 10:33:45.084215,Upgrade
WO000219,FL00065,CM,2025-07-03,2025-07-04 10:00:20.767327,Wear
WO000220,FL00066,CM,2025-08-15,2025-08-15 11:12:18.290238,Upgrade
WO000221,FL00066,PM,2025-07-05,2025-07-05 20:04:16.365975,Scheduled
WO000222,FL00066,PM,2025-06-25,2025-06-25 19:51:37.717637,Inspection
WO000223,FL00067,PM,2025-08-12,2025-08-12 19:29:45.178281,Upgrade
WO000224,FL00067,PM,2025-06-14,2025-06-14 19:31:06.651047,Inspection
WO000225,FL00067,PM,2025-06-27,2025-06-27 16:02:03.292288,Scheduled
WO000226,FL00067,CM,2025-06-26,2025-06-26 12:41:53.243071,Inspection
WO000227,FL00067,PM,2025-08-28,2025-08-28 21:25:33.466623,Inspection
WO000228,FL00068,PM,2025-07-03,2025-07-03 14:26:59.189638,Upgrade
WO000229,FL00068,PM,2025-08-24,2025-08-24 09:33:37.698416,Inspection
WO000230,FL00068,PM,2025-06-04,2025-06-04 20:20:13.862540,Upgrade
WO000231,FL00068,CM,2025-06-22,2025-06-23 08:14:44.373864,Upgrade
WO000232,FL00069,CM,2025-07-09,2025-07-09 19:55:09.412265,Upgrade
WO000233,FL00069,CM,2025-06-17,2025-06-17 15:01:39.868473,Scheduled
WO000234,FL00069,CM,2025-08-06,2025-08-06 20:16:11.460573,Scheduled
WO000235,FL00069,PM,2025-06-15,2025-06-15 19:02:46.798891,Wear
WO000236,FL00070,CM,2025-07-11,2025-07-11 06:30:39.241736,Inspection
WO000237,FL00071,PM,2025-07-25,2025-07-25 20:26:21.431845,Scheduled
WO000238,FL00071,PM,2025-07-12,2025-07-13 05:48:11.459411,Upgrade
WO000239,FL00071,PM,2025-06-06,2025-06-06 21:44:35.271224,Inspection
WO000240,FL00072,PM,2025-08-24,2025-08-24 07:54:07.806111,Upgrade
WO000241,FL00072,CM,2025-07-31,2025-07-31 19:46:24.117592,Inspection
WO000242,FL00072,PM,2025-06-28,2025-06-28 09:34:35.426962,Upgrade
WO000243,FL00072,PM,2025-06-05,2025-06-05 20:19:23.161615,Inspection
WO000244,FL00073,PM,2025-07-06,2025-07-06 15:10:41.072353,Upgrade
WO000245,FL00074,CM,2025-07-14,2025-07-15 00:53:48.446070,Upgrade
WO000246,FL00074,CM,2025-07-09,2025-07-09 18:50:58.977531,Inspection
WO000247,FL00074,PM,2025-07-24,2025-07-25 01:04:07.204215,Scheduled
WO000248,FL00074,PM,2025-06-27,2025-06-27 23:43:08.580425,Upgrade
WO000249,FL00074,PM,2025-08-05,2025-08-05 16:07:26.070793,Wear
WO000250,FL00075,PM,2025-07-16,2025-07-16 22:33:20.277556,Wear
WO000251,FL00075,PM,2025-08-25,2025-08-25 13:32:28.122611,Scheduled
WO000252,FL00075,PM,2025-06-20,2025-06-21 00:42:25.324518,Scheduled
WO000253,FL00075,PM,2025-06-16,2025-06-16 01:00:00.000000,Inspection
WO000254,FL00075,PM,2025-06-07,2025-06-08 20:36:47.471463,Scheduled
WO000255,FL00076,CM,2025-06-10,2025-06-10 09:22:04.340659,Wear
WO000256,FL00076,PM,2025-06-01,2025-06-01 01:32:53.732369,Wear
WO000257,FL00076,CM,2025-08-04,2025-08-04 11:29:46.074124,Scheduled
WO000258,FL00076,PM,2025-07-10,2025-07-10 10:04:58.680636,Scheduled
WO000259,FL00076,PM,2025-08-18,2025-08-18 10:41:04.996876,Wear
WO000260,FL00077,PM,2025-07-26,2025-07-27 05:46:53.012834,Inspection
WO000261,FL00077,PM,2025-06-28,2025-06-28 10:32:46.262970,Wear
WO000262,FL00077,PM,2025-06-29,2025-06-29 18:13:45.442996,Inspection
WO000263,FL00077,PM,2025-07-16,2025-07-16 06:00:33.149263,Wear
WO000264,FL00078,CM,2025-08-25,2025-08-25 06:06:07.170988,Upgrade
WO000265,FL00078,PM,2025-08-21,2025-08-22 06:46:12.782402,Upgrade
WO000266,FL00078,CM,2025-08-11,2025-08-11 01:00:00.000000,Scheduled
WO000267,FL00078,PM,2025-07-07,2025-07-08 03:55:42.638946,Scheduled
WO000268,FL00078,CM,2025-07-18,2025-07-18 05:20:30.443761,Upgrade
WO000269,FL00078,CM,2025-08-25,2025-08-25 01:00:00.000000,Wear
WO000270,FL00079,CM,2025-07-23,2025-07-23 03:03:11.872073,Wear
WO000271,FL00079,PM,2025-07-13,2025-07-13 13:24:49.233697,Upgrade
WO000272,FL00080,CM,2025-07-28,2025-07-28 17:35:20.013642,Scheduled
WO000273,FL00081,PM,2025-06-24,2025-06-24 18:29:13.184626,Upgrade
WO000274,FL00082,CM,2025-07-13,2025-07-13 17:48:31.704104,Wear
WO000275,FL00082,PM,2025-08-03,2025-08-03 08:37:56.330376,Wear
WO000276,FL00082,CM,2025-07-29,2025-07-30 10:58:48.348656,Inspection
WO000277,FL00082,PM,2025-07-04,2025-07-04 06:01:39.608037,Upgrade
WO000278,FL00082,CM,2025-07-11,2025-07-11 19:49:31.136607,Upgrade
WO000279,FL00082,PM,2025-06-07,2025-06-07 23:13:33.497510,Upgrade
WO000280,FL00083,PM,2025-06-18,2025-06-18 10:49:31.689392,Upgrade
WO000281,FL00083,PM,2025-08-22,2025-08-22 19:34:39.957720,Wear
WO000282,FL00084,PM,2025-07-01,2025-07-01 23:25:04.829783,Upgrade
WO000283,FL00084,PM,2025-06-13,2025-06-14 09:26:48.288484,Upgrade
WO000284,FL00085,CM,2025-06-30,2025-06-30 04:27:14.204370,Upgrade
WO000285,FL00085,CM,2025-07-29,2025-07-30 08:54:00.133571,Inspection
WO000286,FL00085,PM,2025-08-16,2025-08-17 07:18:05.202194,Inspection
WO000287,FL00085,PM,2025-07-09,2025-07-09 10:11:33.622466,Upgrade
WO000288,FL00085,PM,2025-06-26,2025-06-26 01:00:00.000000,Upgrade
WO000289,FL00086,PM,2025-08-31,2025-08-31 05:39:35.995653,Scheduled
WO000290,FL00086,PM,2025-08-01,2025-08-01 01:00:00.000000,Upgrade
WO000291,FL00087,PM,2025-07-31,2025-07-31 16:39:26.435756,Scheduled
WO000292,FL00087,PM,2025-08-22,2025-08-22 01:00:00.000000,Inspection
WO000293,FL00087,PM,2025-08-24,2025-08-25 01:09:31.432117,Inspection
WO000294,FL00087,CM,2025-07-02,2025-07-02 20:44:59.801306,Upgrade
WO000295,FL00087,CM,2025-08-04,2025-08-04 09:22:19.251155,Wear
WO000296,FL00088,CM,2025-07-01,2025-07-01 08:52:32.210253,Upgrade
WO000297,FL00089,PM,2025-07-03,2025-07-03 07:32:28.182209,Upgrade
WO000298,FL00089,PM,2025-08-26,2025-08-26 19:10:23.645886,Upgrade
WO000299,FL00089,PM,2025-08-29,2025-08-29 21:50:03.385271,Wear
WO000300,FL00090,CM,2025-06-06,2025-06-06 01:11:45.142381,Scheduled
WO000301,FL00091,CM,2025-07-07,2025-07-07 13:41:51.527928,Upgrade
WO000302,FL00091,CM,2025-06-07,2025-06-07 21:31:57.884530,Wear
WO000303,FL00091,PM,2025-07-30,2025-07-30 15:09:05.720713,Upgrade
WO000304,FL00091,CM,2025-06-21,2025-06-21 16:53:44.537254,Upgrade
WO000305,FL00092,PM,2025-08-09,2025-08-09 07:27:01.956831,Inspection
WO000306,FL00092,PM,2025-06-24,2025-06-24 20:04:51.842853,Inspection
WO000307,FL00092,CM,2025-06-16,2025-06-16 23:44:17.586488,Upgrade
WO000308,FL00092,PM,2025-08-11,2025-08-11 01:00:00.000000,Wear
WO000309,FL00092,PM,2025-08-30,2025-08-30 22:32:08.342845,Upgrade
WO000310,FL00092,CM,2025-08-22,2025-08-23 03:16:22.806921,Inspection
WO000311,FL00092,CM,2025-06-18,2025-06-18 12:16:26.571489,Upgrade
WO000312,FL00093,CM,2025-08-18,2025-08-18 07:56:40.207902,Wear
WO000313,FL00094,CM,2025-08-19,2025-08-20 09:52:10.275992,Upgrade
WO000314,FL00094,PM,2025-07-21,2025-07-21 05:46:56.240815,Scheduled
WO000315,FL00094,CM,2025-07-22,2025-07-22 23:45:39.410213,Scheduled
WO000316,FL00095,CM,2025-07-20,2025-07-20 11:43:55.634906,Upgrade
WO000317,FL00095,PM,2025-06-05,2025-06-06 03:53:34.298750,Inspection
WO000318,FL00095,PM,2025-06-28,2025-06-29 06:52:52.698930,Upgrade
WO000319,FL00095,PM,2025-06-01,2025-06-01 05:29:30.058567,Upgrade
WO000320,FL00096,PM,2025-07-25,2025-07-25 10:44:37.556929,Scheduled
WO000321,FL00096,PM,2025-07-28,2025-07-29 07:48:28.288321,Inspection
WO000322,FL00096,PM,2025-08-06,2025-08-07 03:45:53.514460,Inspection
WO000323,FL00097,CM,2025-06-09,2025-06-10 10:45:36.858099,Wear
WO000324,FL00097,PM,2025-07-28,2025-07-29 17:44:54.432886,Upgrade
WO000325,FL00098,CM,2025-08-15,2025-08-15 10:32:14.074300,Scheduled
WO000326,FL00099,PM,2025-08-02,2025-08-02 18:38:04.031172,Wear
WO000327,FL00099,PM,2025-07-31,2025-07-31 12:09:15.875993,Upgrade
WO000328,FL00099,PM,2025-06-08,2025-06-08 22:35:08.771564,Scheduled
WO000329,FL00100,PM,2025-07-29,2025-07-29 18:47:53.887020,Upgrade
WO000330,FL00100,PM,2025-06-05,2025-06-05 06:12:53.068758,Wear
WO000331,FL00101,PM,2025-06-01,2025-06-01 16:49:01.916291,Inspection
WO000332,FL00101,PM,2025-08-23,2025-08-23 22:37:12.304272,Scheduled
WO000333,FL00101,PM,2025-07-07,2025-07-08 04:49:37.551848,Inspection
WO000334,FL00102,CM,2025-07-17,2025-07-17 12:48:42.829842,Inspection
WO000335,FL00102,PM,2025-06-02,2025-06-02 20:32:37.697267,Inspection
WO000336,FL00102,PM,2025-07-02,2025-07-02 01:00:00.000000,Upgrade
WO000337,FL00102,PM,2025-06-29,2025-06-30 11:08:52.257612,Upgrade
