IncidentID,Date,Time,LocationID,IncidentType,Severity,Department,Cause,ClosedDate
IN00067,2025-07-06,05:23:13,LC001,TRIP,Major,Operations,,2025-08-04
IN00068,2025-07-26,14:36:27,LC027,Trip,Major,Security,Equipment,2025-08-22
IN00069,2025-08-15,19:33:08,LC020,Electrical,Minor,Security,Equipment,
IN00070,2025-08-10,19:18:58,LC010,Electrical,Minor,Maintenance,Human error,2025-08-23
IN00071,2025-06-09,08:45:45,LC013,Slip,Minor,Operations,Wet floor,2025-07-16
IN00072,2025-06-06,08:28:56,LC018,Collision,Major,Security,Obstruction,2025-07-09
IN00073,2025-06-12,18:31:16,LC021,Trip,Minor,Security,Wet floor,
IN00074,2025-06-12,07:55:08,LC026,Collision,Major,Maintenance,Poor lighting,
IN00075,2025-06-09,13:46:42,LC022,slip,Minor,Operations,Poor lighting,
IN00076,2025-06-19,08:22:51,LC016,slip,Minor,Maintenance,,2025-07-20
IN00077,2025-07-28,07:47:50,LC018,Collision,Minor,Customer Service,Obstruction,2025-09-05
IN00078,2025-08-02,12:46:04,LC027,Near Miss,Minor,Operations,Equipment,
IN00079,2025-08-22,15:10:32,LC021,TRIP,Minor,Projects,Obstruction,2025-09-08
IN00080,2025-08-01,15:17:29,LC006,Electrical,Major,Projects,Human error,2025-08-12
IN00081,2025-06-04,21:43:49,LC008,TRIP,Minor,Maintenance,Human error,2025-06-30
IN00082,2025-07-18,07:45:44,LC012,Electrical,Minor,Maintenance,,2025-08-27
IN00083,2025-07-17,15:57:59,LC006,Near Miss,Major,Maintenance,Human error,2025-09-01
IN00084,2025-07-13,06:27:06,LC020,Slip,Minor,Operations,Wet floor,2025-07-18
IN00085,2025-07-11,21:20:12,LC021,Electrical,Minor,Operations,,2025-08-27
IN00086,2025-06-16,22:42:53,LC020,TRIP,Minor,Projects,Weather,2025-07-18
IN00087,2025-07-11,06:40:40,LC028,Slip,Minor,Customer Service,Wet floor,2025-07-25
IN00088,2025-06-30,05:15:08,LC025,slip,Minor,Maintenance,Equipment,
IN00089,2025-06-27,23:24:55,LC024,Collision,Minor,Customer Service,Human error,
IN00090,2025-08-26,12:43:12,LC012,Slip,Minor,Security,Human error,2025-10-01
IN00091,2025-08-16,13:30:09,LC025,Near Miss,Minor,Projects,Wet floor,2025-10-11
IN00092,2025-06-09,20:52:11,LC016,Collision,Minor,Customer Service,Poor lighting,2025-07-23
IN00093,2025-08-08,20:18:08,LC021,Manual Handling,Major,Projects,Weather,2025-08-16
IN00094,2025-06-29,11:40:56,LC020,Manual Handling,Minor,Projects,Wet floor,
IN00095,2025-07-29,07:33:54,LC001,Near Miss,Major,Customer Service,Equipment,
IN00096,2025-07-22,11:00:27,LC028,TRIP,Minor,Operations,Wet floor,2025-08-16
IN00097,2025-06-14,07:31:35,LC028,TRIP,Major,Customer Service,Weather,2025-06-15
IN00098,2025-06-05,11:45:11,LC013,TRIP,Major,Projects,Wet floor,2025-07-02
IN00099,2025-06-08,06:26:44,LC025,TRIP,Minor,Security,Poor lighting,2025-06-24
IN00100,2025-08-30,13:39:24,LC020,slip,Minor,Customer Service,Poor lighting,2025-10-01
IN00101,2025-06-25,23:15:40,LC010,Electrical,Minor,Operations,Human error,2025-08-12
IN00102,2025-06-14,16:30:33,LC001,TRIP,Minor,Operations,Human error,2025-06-29
IN00103,2025-08-12,10:56:19,LC024,TRIP,Minor,Maintenance,Equipment,2025-10-07
IN00104,2025-06-08,12:56:18,LC023,Electrical,Major,Operations,Human error,2025-07-09
IN00105,2025-07-23,20:31:50,LC007,slip,Minor,Customer Service,Wet floor,
IN00106,2025-06-18,17:38:22,LC016,Near Miss,Minor,Customer Service,Weather,
IN00107,2025-07-17,22:30:18,LC022,Electrical,Minor,Operations,Equipment,2025-07-22
IN00108,2025-08-30,08:14:07,LC012,Electrical,Minor,Projects,Wet floor,2025-10-23
IN00109,2025-07-06,14:26:28,LC020,Electrical,Minor,Projects,Obstruction,
IN00110,2025-07-04,15:15:42,LC004,TRIP,Minor,Operations,Equipment,2025-07-17
IN00111,2025-08-18,18:07:11,LC022,TRIP,Major,Projects,Human error,2025-09-29
IN00112,2025-06-17,19:20:42,LC021,Near Miss,Major,Projects,Obstruction,2025-08-06
IN00113,2025-06-11,08:22:44,LC024,slip,Minor,Projects,Wet floor,2025-06-24
IN00114,2025-06-21,17:45:08,LC018,Collision,Minor,Projects,Wet floor,2025-07-10
IN00115,2025-08-24,20:53:51,LC005,Manual Handling,Minor,Maintenance,Wet floor,2025-09-08
IN00116,2025-06-04,20:38:26,LC021,slip,Minor,Operations,Obstruction,
IN00117,2025-07-19,12:01:18,LC011,Slip,Minor,Maintenance,Equipment,
IN00118,2025-08-07,13:32:13,LC021,Near Miss,Minor,Operations,Human error,2025-09-09
IN00119,2025-06-30,18:03:35,LC024,Collision,Minor,Security,Human error,2025-08-13
IN00120,2025-07-16,15:16:43,LC023,Near Miss,Minor,Projects,Wet floor,2025-08-16
IN00121,2025-06-21,15:26:25,LC015,Manual Handling,Fatal,Maintenance,Human error,2025-08-01
IN00122,2025-07-23,19:27:25,LC020,slip,Major,Operations,Obstruction,2025-08-10
IN00123,2025-06-07,13:58:03,LC021,Trip,Minor,Projects,Equipment,2025-06-08
IN00124,2025-08-19,13:31:46,LC009,Manual Handling,Minor,Maintenance,Poor lighting,2025-10-17
IN00125,2025-08-09,12:21:40,LC011,Electrical,Minor,Projects,Poor lighting,
IN00126,2025-08-21,06:19:28,LC019,Collision,Major,Operations,Weather,
IN00127,2025-07-04,18:14:36,LC009,Slip,Minor,Customer Service,Weather,
IN00128,2025-06-04,10:34:13,LC024,slip,Minor,Projects,Human error,2025-06-26
IN00129,2025-06-09,08:39:39,LC017,Manual Handling,Minor,Maintenance,Equipment,2025-07-19
IN00130,2025-06-30,15:08:38,LC010,TRIP,Minor,Customer Service,Poor lighting,2025-07-31
IN00131,2025-06-20,22:01:46,LC009,slip,Minor,Projects,,
IN00132,2025-08-01,05:51:24,LC014,TRIP,Major,Maintenance,Wet floor,
IN00133,2025-06-01,07:49:45,LC028,Collision,Minor,Customer Service,Weather,
IN00134,2025-07-04,15:58:22,LC025,Near Miss,Minor,Customer Service,Equipment,
IN00135,2025-07-03,22:04:41,LC006,TRIP,Major,Customer Service,Weather,2025-08-16
IN00136,2025-06-10,06:33:13,LC027,slip,Major,Maintenance,Weather,2025-06-24
IN00137,2025-06-04,16:34:12,LC013,Slip,Minor,Maintenance,Equipment,2025-07-28
IN00138,2025-06-01,10:53:34,LC028,Trip,Minor,Customer Service,Weather,2025-07-27
IN00139,2025-07-14,17:55:45,LC014,Trip,Minor,Projects,Equipment,2025-09-03
IN00140,2025-08-29,12:18:51,LC016,Trip,Major,Customer Service,,
IN00141,2025-07-23,10:58:23,LC020,Collision,Minor,Maintenance,Wet floor,
IN00142,2025-08-26,15:26:13,LC023,Trip,Major,Security,Poor lighting,2025-09-15
IN00143,2025-07-25,22:46:15,LC002,Collision,Minor,Maintenance,Human error,
IN00144,2025-06-19,05:02:54,LC005,slip,Minor,Projects,,2025-08-08
IN00145,2025-06-17,05:48:33,LC022,Trip,Minor,Security,Human error,2025-06-21
IN00146,2025-07-09,08:32:25,LC002,Slip,Minor,Operations,Poor lighting,
IN00147,2025-08-13,20:02:10,LC022,Slip,Minor,Security,Obstruction,2025-08-26
IN00148,2025-08-20,14:19:01,LC028,Slip,Major,Operations,Human error,2025-09-28
IN00149,2025-08-16,12:40:49,LC027,TRIP,Minor,Customer Service,Weather,2025-09-29
IN00150,2025-07-30,12:02:17,LC002,Trip,Major,Customer Service,Obstruction,2025-09-15
IN00151,2025-07-03,08:52:50,LC012,Electrical,Minor,Operations,Weather,2025-08-06
IN00152,2025-06-02,17:41:25,LC012,Slip,Major,Security,Weather,2025-06-14
IN00153,2025-06-24,09:52:47,LC024,Trip,Minor,Projects,Wet floor,2025-08-07
IN00154,2025-08-11,13:55:05,LC020,TRIP,Minor,Security,Equipment,
IN00155,2025-06-13,07:04:32,LC021,slip,Minor,Maintenance,Weather,
IN00156,2025-07-22,18:01:00,LC004,Collision,Minor,Operations,Wet floor,2025-08-19
IN00157,2025-08-03,22:38:58,LC022,Slip,Minor,Customer Service,Equipment,
IN00158,2025-08-02,09:06:47,LC025,Manual Handling,Minor,Projects,Weather,2025-08-02
IN00159,2025-06-26,23:50:25,LC011,Manual Handling,Minor,Projects,Wet floor,2025-07-07
IN00160,2025-06-17,11:53:38,LC015,Electrical,Major,Customer Service,Human error,2025-06-29
IN00161,2025-06-06,14:50:20,LC021,TRIP,Major,Operations,Poor lighting,2025-07-17
IN00162,2025-08-02,18:32:47,LC010,Manual Handling,Major,Maintenance,Wet floor,2025-08-16
IN00163,2025-07-17,05:19:17,LC008,slip,Minor,Customer Service,Wet floor,
IN00164,2025-07-28,19:12:06,LC005,TRIP,Minor,Maintenance,Weather,2025-08-11
IN00165,2025-08-05,13:41:36,LC020,slip,Minor,Maintenance,Equipment,2025-09-15
IN00166,2025-06-06,20:24:18,LC012,slip,Fatal,Security,Equipment,2025-07-17
IN00167,2025-07-10,18:05:14,LC002,Near Miss,Minor,Customer Service,Wet floor,2025-08-08
IN00168,2025-07-03,18:35:17,LC012,Near Miss,Minor,Security,Equipment,2025-07-19
IN00169,2025-07-09,20:18:58,LC024,Manual Handling,Minor,Maintenance,Equipment,2025-07-19
IN00170,2025-07-31,22:32:15,LC006,TRIP,Minor,Customer Service,Equipment,2025-09-06
IN00171,2025-08-01,17:01:31,LC018,slip,Minor,Projects,Human error,2025-09-23
IN00172,2025-07-19,17:23:48,LC009,Near Miss,Minor,Security,Poor lighting,2025-09-07
IN00173,2025-06-18,22:45:06,LC005,Collision,Minor,Operations,Human error,
IN00174,2025-07-19,19:14:36,LC022,Electrical,Minor,Operations,Obstruction,2025-08-03
IN00175,2025-06-08,05:25:49,LC023,Electrical,Minor,Security,Wet floor,2025-06-24
IN00176,2025-06-26,12:28:23,LC008,Manual Handling,Minor,Customer Service,Human error,2025-07-09
IN00177,2025-06-03,20:36:06,LC028,Electrical,Minor,Maintenance,Obstruction,
IN00178,2025-07-17,14:21:09,LC018,Electrical,Major,Maintenance,Wet floor,
IN00179,2025-07-17,07:06:35,LC013,Manual Handling,Minor,Maintenance,Obstruction,2025-09-08
IN00180,2025-08-18,10:13:55,LC016,Near Miss,Minor,Security,Equipment,2025-08-29
IN00181,2025-08-03,20:37:15,LC004,Manual Handling,Major,Security,Wet floor,
IN00182,2025-08-11,07:09:25,LC014,Slip,Minor,Security,Equipment,2025-10-03
IN00183,2025-06-04,20:33:46,LC020,Trip,Minor,Customer Service,Obstruction,2025-07-08
IN00184,2025-06-12,23:48:14,LC009,Manual Handling,Major,Maintenance,Wet floor,
IN00185,2025-06-06,06:49:31,LC010,TRIP,Minor,Operations,Human error,2025-07-22
IN00186,2025-06-13,13:26:19,LC019,Near Miss,Minor,Customer Service,Human error,2025-07-29
IN00187,2025-07-08,15:53:09,LC011,Slip,Minor,Operations,Wet floor,2025-09-04
IN00188,2025-06-12,06:20:44,LC013,Near Miss,Minor,Maintenance,Human error,
IN00189,2025-07-31,23:38:26,LC008,TRIP,Minor,Security,Equipment,2025-08-11
IN00190,2025-07-16,05:17:44,LC022,slip,Minor,Customer Service,Weather,2025-09-08
IN00191,2025-06-28,11:48:35,LC026,Near Miss,Minor,Projects,Wet floor,2025-08-07
IN00192,2025-07-08,20:34:31,LC005,Electrical,Minor,Maintenance,Human error,
IN00193,2025-08-26,15:41:15,LC022,Near Miss,Minor,Customer Service,Equipment,
IN00194,2025-06-25,15:29:45,LC025,Electrical,Major,Operations,Weather,2025-07-20
IN00195,2025-08-26,20:32:35,LC017,Near Miss,Minor,Operations,Equipment,2025-08-27
IN00196,2025-07-03,07:58:06,LC009,Near Miss,Minor,Projects,Human error,2025-07-09
IN00197,2025-08-12,18:44:04,LC025,TRIP,Minor,Customer Service,Human error,2025-08-21
IN00198,2025-08-17,17:08:48,LC019,Near Miss,Minor,Projects,Human error,2025-08-17
IN00199,2025-07-21,05:10:33,LC004,slip,Minor,Security,,2025-09-02
IN00200,2025-07-10,08:10:12,LC013,Near Miss,Major,Projects,Wet floor,2025-07-10
IN00201,2025-08-18,19:55:07,LC002,Manual Handling,Minor,Operations,Equipment,
IN00202,2025-08-08,06:56:27,LC023,Slip,Minor,Operations,Wet floor,
IN00203,2025-06-13,20:10:40,LC014,Collision,Minor,Operations,Human error,2025-06-16
IN00204,2025-06-10,21:31:08,LC019,Collision,Major,Security,Equipment,2025-07-01
IN00205,2025-07-27,22:26:25,LC002,Near Miss,Major,Projects,Wet floor,2025-07-29
IN00206,2025-06-26,05:18:07,LC022,Collision,Major,Security,Human error,2025-07-07
IN00207,2025-08-20,18:18:46,LC022,Electrical,Minor,Operations,Wet floor,2025-08-25
IN00208,2025-06-22,13:33:20,LC018,Trip,Minor,Operations,Wet floor,2025-07-03
IN00209,2025-08-31,16:36:41,LC004,Trip,Minor,Maintenance,Equipment,
IN00210,2025-07-24,10:09:18,LC014,TRIP,Minor,Operations,Equipment,2025-09-17
IN00211,2025-06-23,21:43:13,LC014,slip,Minor,Projects,Weather,2025-08-01
IN00212,2025-08-19,16:33:38,LC016,TRIP,Minor,Maintenance,Poor lighting,2025-10-12
IN00213,2025-06-09,13:30:29,LC002,Slip,Minor,Projects,Wet floor,2025-07-11
IN00214,2025-06-24,11:59:21,LC007,Trip,Minor,Operations,Poor lighting,2025-07-01
IN00215,2025-07-15,09:10:33,LC018,Collision,Minor,Maintenance,Weather,2025-08-14
IN00216,2025-06-05,20:00:20,LC028,TRIP,Minor,Security,Wet floor,2025-06-24
IN00217,2025-06-24,18:11:09,LC008,slip,Minor,Security,Poor lighting,
IN00218,2025-06-23,20:04:00,LC022,Near Miss,Minor,Security,Wet floor,
IN00219,2025-06-23,14:44:12,LC006,TRIP,Minor,Operations,Weather,2025-07-07
IN00220,2025-07-30,11:44:06,LC023,Trip,Minor,Customer Service,Wet floor,2025-08-28
IN00221,2025-08-27,22:29:21,LC012,Collision,Minor,Security,Poor lighting,2025-09-07
IN00222,2025-07-09,08:03:39,LC013,TRIP,Minor,Projects,Weather,2025-08-04
IN00223,2025-08-29,19:38:10,LC024,slip,Major,Operations,Human error,2025-10-03
IN00224,2025-07-16,07:22:40,LC020,Trip,Minor,Operations,Weather,2025-08-03
IN00225,2025-07-18,22:56:14,LC027,Trip,Major,Maintenance,Wet floor,2025-09-12
IN00226,2025-06-21,16:40:00,LC024,Manual Handling,Minor,Operations,Wet floor,2025-08-06
IN00227,2025-07-12,11:17:18,LC012,Trip,Minor,Operations,Human error,2025-07-16
IN00228,2025-07-12,18:37:46,LC015,Electrical,Minor,Security,Equipment,2025-09-02
IN00229,2025-06-18,14:23:39,LC014,Collision,Minor,Operations,,2025-08-02
IN00230,2025-08-20,17:59:16,LC027,Collision,Minor,Projects,Poor lighting,2025-08-21
IN00231,2025-06-05,22:34:41,LC024,Near Miss,Minor,Operations,Poor lighting,
IN00232,2025-08-29,11:04:37,LC015,Collision,Major,Projects,Wet floor,2025-09-12
IN00233,2025-07-01,09:06:46,LC009,Manual Handling,Minor,Maintenance,Equipment,2025-08-29
IN00234,2025-06-13,11:17:11,LC005,Slip,Major,Operations,Weather,2025-06-30
IN00235,2025-08-02,13:36:06,LC020,Trip,Major,Customer Service,Weather,2025-08-25
IN00236,2025-07-18,09:51:33,LC003,Manual Handling,Minor,Security,Human error,2025-08-05
IN00237,2025-06-03,23:41:49,LC017,Electrical,Minor,Customer Service,Human error,2025-07-16
IN00238,2025-08-15,17:21:36,LC022,Electrical,Minor,Operations,Wet floor,2025-08-27
IN00239,2025-07-02,23:38:17,LC011,TRIP,Minor,Customer Service,Obstruction,2025-08-18
IN00240,2025-07-14,20:13:10,LC010,Collision,Minor,Projects,Poor lighting,2025-09-03
IN00241,2025-06-19,05:50:14,LC011,Near Miss,Minor,Security,Poor lighting,
IN00242,2025-06-03,11:05:59,LC003,Near Miss,Major,Customer Service,Weather,2025-06-12
IN00243,2025-06-06,09:09:10,LC020,Collision,Minor,Customer Service,Human error,2025-06-12
IN00244,2025-06-13,20:55:00,LC022,Collision,Minor,Security,Equipment,2025-08-05
IN00245,2025-07-30,15:04:57,LC014,Electrical,Minor,Operations,Weather,2025-08-11
IN00246,2025-06-23,06:08:32,LC015,Near Miss,Minor,Customer Service,Weather,2025-07-01
IN00247,2025-06-27,19:27:42,LC025,TRIP,Minor,Projects,Human error,2025-07-31
IN00248,2025-08-18,20:20:19,LC024,TRIP,Minor,Customer Service,Poor lighting,2025-08-20
IN00249,2025-08-03,21:48:07,LC026,Manual Handling,Minor,Projects,Weather,
IN00250,2025-08-17,12:35:25,LC005,TRIP,Minor,Security,Human error,2025-08-19
IN00251,2025-07-06,17:49:24,LC006,TRIP,Minor,Projects,Weather,
IN00252,2025-06-10,20:22:19,LC009,Near Miss,Minor,Security,Weather,2025-06-22
IN00253,2025-06-13,21:20:33,LC014,slip,Minor,Projects,Equipment,2025-07-16
IN00254,2025-08-08,07:56:38,LC006,Manual Handling,Minor,Security,Wet floor,2025-08-09
IN00255,2025-07-01,11:10:40,LC021,Collision,Minor,Projects,Wet floor,2025-08-11
IN00256,2025-08-05,13:45:09,LC012,Manual Handling,Minor,Customer Service,Poor lighting,2025-08-12
IN00257,2025-06-11,18:35:28,LC001,Slip,Major,Projects,Equipment,2025-07-23
IN00258,2025-06-08,20:44:50,LC027,Electrical,Minor,Maintenance,Human error,2025-06-27
IN00259,2025-06-05,13:43:07,LC018,Collision,Minor,Operations,,2025-07-22
IN00260,2025-07-20,22:57:27,LC014,Manual Handling,Major,Operations,Equipment,2025-08-26
IN00261,2025-07-27,16:11:01,LC005,Electrical,Minor,Security,,2025-07-31
IN00262,2025-07-13,16:54:29,LC004,TRIP,Minor,Operations,Equipment,2025-07-23
IN00263,2025-07-18,16:46:27,LC011,Collision,Minor,Operations,Equipment,2025-07-29
IN00264,2025-07-21,11:39:35,LC016,Collision,Minor,Operations,Poor lighting,2025-08-26
IN00265,2025-08-12,11:24:23,LC028,Collision,Minor,Maintenance,Human error,2025-09-02
IN00266,2025-08-22,10:59:47,LC025,Manual Handling,Minor,Security,Wet floor,2025-10-05
IN00267,2025-08-05,05:12:28,LC014,Electrical,Minor,Security,Weather,
IN00268,2025-08-16,16:33:12,LC012,TRIP,Minor,Security,Human error,2025-08-28
IN00269,2025-08-21,05:37:19,LC013,Near Miss,Minor,Customer Service,Equipment,2025-09-16
IN00270,2025-08-04,15:06:58,LC007,Trip,Minor,Customer Service,Human error,2025-08-11
IN00271,2025-08-24,16:58:16,LC021,Manual Handling,Fatal,Operations,Weather,2025-09-03
IN00272,2025-06-27,21:58:00,LC022,Slip,Minor,Customer Service,Human error,2025-06-30
IN00273,2025-06-28,13:02:41,LC017,slip,Minor,Operations,Human error,
IN00274,2025-08-15,13:41:30,LC025,Manual Handling,Minor,Operations,Wet floor,2025-08-19
IN00275,2025-07-18,17:02:44,LC013,Collision,Minor,Projects,Wet floor,
IN00276,2025-07-02,13:17:40,LC017,Electrical,Major,Projects,,2025-07-31
IN00277,2025-07-28,06:36:52,LC020,Trip,Minor,Security,Wet floor,2025-09-02
IN00278,2025-08-14,05:55:45,LC022,Slip,Minor,Projects,Human error,
IN00279,2025-07-24,20:38:40,LC016,TRIP,Minor,Maintenance,Weather,
IN00280,2025-08-23,19:31:11,LC013,slip,Minor,Maintenance,Wet floor,
IN00281,2025-07-06,20:47:55,LC008,TRIP,Minor,Customer Service,Equipment,
IN00282,2025-06-10,22:51:06,LC025,slip,Major,Operations,,
IN00283,2025-08-29,06:23:01,LC021,Near Miss,Minor,Security,Equipment,2025-08-29
IN00284,2025-06-30,09:45:47,LC019,Electrical,Major,Projects,Weather,2025-07-05
IN00285,2025-08-11,10:55:54,LC016,Manual Handling,Minor,Security,Obstruction,2025-09-25
IN00286,2025-08-19,09:05:26,LC007,Collision,Minor,Maintenance,Wet floor,
IN00287,2025-06-24,08:03:28,LC028,Trip,Minor,Customer Service,Wet floor,
IN00288,2025-08-10,06:20:06,LC020,TRIP,Minor,Security,Human error,
IN00289,2025-08-08,22:17:54,LC013,Manual Handling,Major,Projects,Human error,
IN00290,2025-07-09,11:41:39,LC022,Electrical,Minor,Customer Service,Weather,2025-08-02
IN00291,2025-06-12,05:21:53,LC017,Electrical,Major,Maintenance,Wet floor,2025-07-09
IN00292,2025-07-14,15:57:45,LC011,Electrical,Minor,Maintenance,Human error,2025-08-12
IN00293,2025-08-14,10:57:37,LC020,Trip,Minor,Maintenance,Human error,2025-08-25
IN00294,2025-06-13,16:33:00,LC012,slip,Major,Customer Service,Poor lighting,2025-06-22
IN00295,2025-08-16,17:26:53,LC012,Near Miss,Minor,Projects,Equipment,2025-09-23
IN00296,2025-07-28,06:04:12,LC020,Electrical,Minor,Customer Service,Equipment,2025-08-12
IN00297,2025-08-12,21:09:46,LC014,slip,Minor,Customer Service,Wet floor,
IN00298,2025-08-10,13:05:11,LC023,Near Miss,Minor,Maintenance,Wet floor,2025-08-21
IN00299,2025-08-25,19:02:17,LC026,Trip,Major,Customer Service,Wet floor,2025-10-19
IN00300,2025-06-18,11:44:32,LC018,Manual Handling,Major,Projects,Weather,
IN00301,2025-06-05,18:11:40,LC018,Electrical,Major,Security,Wet floor,2025-07-10
IN00302,2025-06-21,05:19:17,LC027,Near Miss,Minor,Maintenance,Obstruction,2025-07-10
IN00303,2025-07-29,22:22:07,LC015,Trip,Major,Maintenance,Poor lighting,2025-09-01
IN00304,2025-06-22,15:29:36,LC010,Trip,Minor,Maintenance,Wet floor,2025-08-17
IN00305,2025-08-19,07:36:59,LC006,Collision,Minor,Projects,Wet floor,2025-09-01
IN00306,2025-07-30,19:05:07,LC024,Collision,Minor,Projects,Human error,
